shield/transition_timestep,time/iterations,rollout/ep_rew_mean,shield/stage,shield/ignore_prob,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl
,19,0.7624443769454956,,,933888,4063,229,47.97,-0.0076138172298669815,-0.890965764472882,0.06006062825520833,0.5321592092514038,-0.002394623353939096,0.2,0.0003,0.011090654086001451,180,0.0056339777
,20,0.7654721736907959,,,983040,4005,245,43.03,0.0014273850247263908,-0.8642663563601672,0.05699869791666667,0.5456435680389404,-0.0020922122167879326,0.2,0.0003,0.010624445287733882,190,0.0056584105
,21,0.7596111297607422,,,1032192,3957,260,44.96,0.005883820820599794,-0.839472230989486,0.055074055989583336,0.5456129312515259,-0.0024421095830499933,0.2,0.0003,0.010524693681994298,200,0.004952489
,22,0.7133889198303223,,,1081344,3954,273,40.36,0.00484341150149703,-0.8041122254294654,0.044952392578125,0.5298173427581787,-0.0014659059420713068,0.2,0.0003,0.010251222411413134,210,0.004761365
,23,0.7532499432563782,,,1130496,3952,285,44.37,0.0043186298571527,-0.777420593239367,0.048529052734375,0.5113401412963867,-0.0016826065995701356,0.2,0.0003,0.012055422085541067,220,0.005183732
,24,0.781416654586792,,,1179648,3951,298,43.76,0.011618319898843765,-0.7670705622062087,0.049058024088541666,0.5197674036026001,-0.001881471893223837,0.2,0.0003,0.01093376466136154,230,0.0051713376
,25,0.7634721994400024,,,1228800,3949,311,43.26,-0.003604678902775049,-0.7454795324243605,0.04658203125,0.5172783136367798,-0.002054445451176434,0.2,0.0003,0.010326153412461282,240,0.0048485436
,26,0.7982223033905029,,,1277952,3948,323,41.18,0.008322572335600853,-0.7201067472187181,0.04627278645833333,0.5079594254493713,-0.0019053894147267178,0.2,0.0003,0.010872648508666316,250,0.00420222
,27,0.7189445495605469,,,1327104,3947,336,39.33,-0.0007683136500418186,-0.6994431363729139,0.04126180013020833,0.5196812748908997,-0.0015633810939713537,0.2,0.0003,0.009892117510025856,260,0.0044533317
,28,0.7581111788749695,,,1376256,3946,348,43.3,0.009346885606646538,-0.688059629748265,0.04766642252604167,0.5250082015991211,-0.0019125248478303546,0.2,0.0003,0.010244751084489205,270,0.0047074067
,29,0.7648611664772034,,,1425408,3945,361,42.77,0.003381582675501704,-0.6854552023112774,0.04612019856770833,0.5164508819580078,-0.0018725838498539816,0.2,0.0003,0.011250467153877253,280,0.0046647373
,30,0.7804722785949707,,,1474560,3944,373,44.45,-0.005419442430138588,-0.6645178195089102,0.050364176432291664,0.5097463130950928,-0.0024424631438099216,0.2,0.0003,0.010855122984018332,290,0.0055013676
