time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
51200,25,523,0.14863891,97,116.1,0.2627906799316406,0.0064970556333719285,-0.0123025152948685,0.155322265625,0.0003,-1.5226839132606984,0.2,240,0.014164286,-0.011327565647661686
53248,26,523,0.16911113,101,122.81,0.2551002502441406,0.007176833784251357,-0.014090198405028787,0.1640625,0.0003,-1.51438854560256,0.2,250,0.016664632,-0.025696031749248505
55296,27,522,0.18713889000000003,105,124.71,0.41618186235427856,0.00602565810586384,-0.011175415356410668,0.14609375,0.0003,-1.4413886915892362,0.2,260,0.014919135,-0.0053930627182126045
57344,28,522,0.21161109999999997,109,114.89,0.3470931649208069,0.007170168893571827,-0.012452206751186167,0.159912109375,0.0003,-1.4411824773997068,0.2,270,0.018764071,-0.010320066474378109
59392,29,521,0.23661109999999996,113,112.29,0.33720892667770386,0.007558401428832439,-0.01066310281457845,0.156494140625,0.0003,-1.2879632957279683,0.2,280,0.014702991,-0.009530079551041126
61440,30,521,0.22402777000000001,117,118.21,0.38100725412368774,0.004229190946716699,-0.015244696409718017,0.16591796875,0.0003,-1.33149573802948,0.2,290,0.01726092,-0.016129570081830025
63488,31,521,0.23077778000000002,121,130.36,0.3056374192237854,0.0036935109546902822,-0.012014876134344377,0.1361328125,0.0003,-1.41333497017622,0.2,300,0.01116419,-0.04893292114138603
65536,32,521,0.24222222,125,119.04,0.3992830514907837,0.004197414417285472,-0.01175548428145703,0.131591796875,0.0003,-1.3782674320042134,0.2,310,0.01282228,0.004337220918387175
67584,33,520,0.24127776999999997,129,117.65,0.35932332277297974,0.008193953176669311,-0.012889261165400966,0.15869140625,0.0003,-1.4184365425258876,0.2,320,0.015979603,-0.0209455918520689
69632,34,520,0.28105556000000004,133,113.47,0.4242396950721741,0.007150650348194176,-0.014226814951689449,0.204931640625,0.0003,-1.3606542106717825,0.2,330,0.020431282,0.02606637217104435
71680,35,519,0.32099998999999996,137,111.86,0.4891905188560486,0.009741325065988349,-0.014038300607353449,0.15595703125,0.0003,-1.3368776615709066,0.2,340,0.018590659,0.014361480250954628
73728,36,516,0.34186108,142,104.85,0.40419328212738037,0.009597239103459287,-0.011687521419662516,0.1666015625,0.0003,-1.2873049952089786,0.2,350,0.014392231,-0.017148789018392563
75776,37,515,0.36513886,147,107.43,0.4985516667366028,0.009142680986406049,-0.00835829521965934,0.119287109375,0.0003,-1.2918980568647385,0.2,360,0.010403518,0.013686979189515114
77824,38,512,0.35386108,151,101.46,0.5739320516586304,0.008728149012313224,-0.015630507335299627,0.18046875,0.0003,-1.2706387273967266,0.2,370,0.01765555,-0.01937221549451351
79872,39,510,0.34316663,156,97.15,0.44091856479644775,0.009613383427495136,-0.010281021871196571,0.12001953125,0.0003,-1.223370149359107,0.2,380,0.0119619705,0.001042697113007307
81920,40,510,0.33513884,160,99.22,0.5488402843475342,0.009883013306534849,-0.013736578094540163,0.12197265625,0.0003,-1.2326589845120908,0.2,390,0.016222991,0.009265374392271042
83968,41,509,0.35497218999999997,164,97.29,0.5339624881744385,0.006240235333098099,-0.009825836359232199,0.154541015625,0.0003,-1.18334223292768,0.2,400,0.015648376,-0.03051399253308773
86016,42,509,0.36922220000000006,168,96.97,0.5799773931503296,0.008912269178108546,-0.013290402686106973,0.162255859375,0.0003,-1.1785254059359431,0.2,410,0.019158445,0.003756110556423664
88064,43,508,0.42105553,173,95.56,0.4942437410354614,0.010569171972747426,-0.012231403394252993,0.126025390625,0.0003,-1.1543242784217,0.2,420,0.011361197,-0.014365045353770256
90112,44,508,0.42755554,177,105.5,0.5473954081535339,0.009987896587699652,-0.010301882926432882,0.123974609375,0.0003,-1.156988084129989,0.2,430,0.0120617505,-0.018611369654536247
92160,45,508,0.4353055599999999,181,105.25,0.25144463777542114,0.010333368217106908,-0.009163965922198258,0.13330078125,0.0003,-1.1752251032739878,0.2,440,0.015305957,-0.008785896934568882
94208,46,507,0.41827779,185,106.04,0.49427109956741333,0.006884628196712583,-0.011637579176749568,0.148681640625,0.0003,-1.1640558294951915,0.2,450,0.013946247,0.005073105450719595
96256,47,507,0.42211112,189,104.76,0.3708208203315735,0.011516865238081663,-0.012565728777553886,0.1775390625,0.0003,-1.1159501064568758,0.2,460,0.014909569,0.006629943381994963
