time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/n_updates
22528,11,532,115.43,0.01941667,42,0.2,0.08505859375,0.0003,-0.01060881996891112,0.011330377,-1.8549646705389022,0.01653723604977131,-2.5374975204467773,0.0001227437900070072,100
24576,12,528,116.94,0.01941667,46,0.2,0.15244140625,0.0003,-0.008879949637048412,0.018220913,-1.8298893880099059,-0.013155580498278141,0.1760922074317932,0.0003604704717986351,110
26624,13,525,123.06,0.008444450000000001,50,0.2,0.12431640625,0.0003,-0.01238769949559355,0.011900522,-1.7871542051434517,-0.027439983561635017,-2.6710546016693115,7.578294124073181e-05,120
28672,14,524,129.69,0.01077778,54,0.2,0.127685546875,0.0003,-0.015490983639028854,0.011496703,-1.7917891774326562,-0.048948291689157486,-1.8450663089752197,0.00012648356255908765,130
30720,15,521,131.82,0.01308334,58,0.2,0.127783203125,0.0003,-0.011507644806988538,0.012362104,-1.794708436727524,-0.01331751886755228,0.04947143793106079,0.0022769493895793856,140
32768,16,519,131.67,0.01308334,63,0.2,0.1125,0.0003,-0.011738560847152257,0.01545146,-1.7945735085755588,-0.01576819457113743,-0.2995142936706543,0.0002762595738317941,150
34816,17,519,134.56,0.0151389,67,0.2,0.104541015625,0.0003,-0.014971628860803322,0.009359838,-1.8012799110263586,-0.034849949181079865,-0.8929098844528198,5.412258013848259e-05,160
36864,18,517,138.45,0.0168889,71,0.2,0.139794921875,0.0003,-0.013804060438269516,0.01412778,-1.803418729826808,-0.035812243819236755,0.18561184406280518,0.0001555959016172892,170
38912,19,515,142.25,0.02083335,75,0.2,0.18779296875,0.0003,-0.013013040930673014,0.01635791,-1.7836188029497861,-0.02646573632955551,0.07830560207366943,0.0010258742410201194,180
40960,20,515,151.31,0.02083335,79,0.2,0.119873046875,0.0003,-0.011899233380972873,0.01123981,-1.7541587594896555,-0.019596634432673454,0.10854214429855347,0.00029874411075070384,190
43008,21,515,159.02,0.023027790000000003,83,0.2,0.126611328125,0.0003,-0.014158961300563534,0.013846635,-1.7177236516028642,-0.028446698561310768,-0.08133494853973389,0.00010396381495638706,200
45056,22,511,170.2,0.015555569999999998,88,0.2,0.148486328125,0.0003,-0.011373248035670257,0.013298914,-1.7181403752416373,-0.017763856798410416,0.25740623474121094,0.0002188323549717097,210
47104,23,510,176.08,0.02447224,92,0.2,0.140234375,0.0003,-0.015192558313719929,0.016110642,-1.7047882806509733,0.031392890959978104,-1.0897743701934814,5.7072939387126095e-05,220
