time/fps,time/total_timesteps,shield/actions_allowed,rollout/ep_rew_mean,time/iterations,shield/actions_block_ignored,shield/actions_blocked,shield/constant_delta,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,shield/stage,shield/transition_timestep,shield/ignore_prob
3873,2555904,1278345,0.7600277662277222,52,0,1053884,,659,44.46,0.0003,0.010798829304500638,510,0.004603435,0.2,0.041798909505208336,-0.483840390931194,-0.0020225355451960543,-0.0053580403327941895,0.50235915184021,,,
3873,2605056,1303378,0.7739444971084595,53,0,1077416,,672,39.77,0.0003,0.010288238029412847,520,0.0033387244,0.2,0.03614501953125,-0.4742424428773423,-0.0017704166188195814,-0.0051053231582045555,0.5173726081848145,,,
3872,2654208,1328398,0.7334721088409424,54,0,1100950,,685,41.02,0.0003,0.01090221372335994,530,0.0035781283,0.2,0.037274169921875,-0.4826082014323523,-0.0018599861535221862,-0.0009516398422420025,0.5086721777915955,,,
3871,2703360,1353305,0.7780277132987976,55,0,1124606,,698,45.6,0.0003,0.010732537254079943,540,0.0038594066,0.2,0.03925374348958333,-0.46963796014897524,-0.0018708694996045475,0.002472090069204569,0.5139368772506714,,,
3869,2752512,1378257,0.7939999103546143,56,0,1148287,,711,43.18,0.0003,0.010839837824945183,550,0.0029982207,0.2,0.03567301432291667,-0.44228844114889704,-0.0017554571082049127,-7.831677794456482e-05,0.5064728260040283,,,
3868,2801664,1403264,0.7538888454437256,57,0,1171872,,724,40.22,0.0003,0.010358192637310519,560,0.0033424776,0.2,0.03366292317708333,-0.43365727082515754,-0.0015789078514596136,0.0015086596831679344,0.511182427406311,,,
3868,2850816,1428138,0.7830832600593567,58,0,1195548,,736,43.35,0.0003,0.010839647728183384,570,0.003136798,0.2,0.032029215494791666,-0.42427246845327315,-0.0011981936175288865,0.004737831186503172,0.5081773400306702,,,
3867,2899968,1452900,0.6823055744171143,59,0,1219419,,749,41.42,0.0003,0.011198382268776185,580,0.0031833958,0.2,0.034377034505208334,-0.41405417475228506,-0.0013090489906971924,9.843101724982262e-05,0.5112881660461426,,,
3867,2949120,1477802,0.7928056120872498,60,0,1243064,,762,43.33,0.0003,0.010947832381983364,590,0.003389144,0.2,0.03347574869791667,-0.42602760139852763,-0.0012180603782326216,0.0074733346700668335,0.4958478808403015,,,
3867,2998272,1502692,0.7542221546173096,61,0,1266651,,775,39.78,0.0003,0.009935876150848344,600,0.0047823046,0.2,0.037394205729166664,-0.41869288249872627,-0.0019115534386097957,0.0021510885562747717,0.5214887857437134,,,
3865,3047424,1527604,0.7460833191871643,62,0,1290176,,788,43.97,0.0003,0.011487048399673464,610,0.0049193334,0.2,0.04062093098958333,-0.4243656508003672,-0.0021406666816346843,0.001759486272931099,0.5014840364456177,2,3000000,0.75
3865,3096576,1552548,0.7396388053894043,63,0,1313719,,801,42.07,0.0003,0.010427570231452894,620,0.00458129,0.2,0.03631388346354167,-0.41677575387681526,-0.0017805337378376863,0.006984999869018793,0.5250698328018188,,,
3864,3145728,1577862,0.7417221665382385,64,0,1336960,,813,40.52,0.0003,0.01147133636501773,630,0.0034564473,0.2,0.037481689453125,-0.4227974848045657,-0.0018780889720498332,0.0016792183741927147,0.497538685798645,,,
3864,3194880,1603161,0.8149722814559937,65,0,1360140,,826,42.23,0.0003,0.011291785437545816,640,0.0033726012,0.2,0.03311971028645833,-0.4159395108775546,-0.00155319500912204,0.0008800863288342953,0.5124670267105103,,,
