rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,shield/transition_timestep,shield/delta,shield/stage
0.8847500085830688,4733,737280,155,15,29.51,0.003997267585994753,0.005366661,-0.014655175618827343,0.082550048828125,140,0.2,0.5587148070335388,-0.005485152557654752,0.0003,-0.5649870863494774,,,
0.8917499780654907,4747,786432,165,16,27.55,0.003655784630488294,0.004090591,-0.0013787890784442425,0.05936279296875,150,0.2,0.539585530757904,-0.003597414548918702,0.0003,-0.4861504710900287,,,
0.8654642701148987,4762,835584,175,17,26.75,0.003938124723936199,0.0033196881,0.00269280094653368,0.049947102864583336,160,0.2,0.5108633637428284,-0.0031678392764661113,0.0003,-0.41465748942767583,,,
0.8756428360939026,4773,884736,185,18,26.87,0.0037500052240526808,0.0033164471,0.00171818514354527,0.04407145182291667,170,0.2,0.5006775856018066,-0.0025096013680316292,0.0003,-0.36897079716436565,,,
0.8802857995033264,4784,933888,195,19,25.35,0.004047756900702856,0.0032223528,0.004501203075051308,0.039139811197916666,180,0.2,0.4660921096801758,-0.0027817995082538498,0.0003,-0.3343234529408316,,,
0.8655000329017639,4744,983040,207,20,24.01,0.0032430732886496116,0.002967205,-0.0005717754829674959,0.03884480794270833,190,0.2,0.5304891467094421,-0.002471294470403033,0.0003,-0.301133237251391,,,
0.8877857327461243,4712,1032192,219,21,26.09,0.004352210731788849,0.0034307044,0.005164477042853832,0.037369791666666666,200,0.2,0.46491897106170654,-0.002704821743767146,0.0003,-0.2736350409608955,,,
0.8910714983940125,4726,1081344,228,22,25.06,0.004625269457210379,0.0035262152,0.002562496345490217,0.037640380859375,210,0.2,0.45755815505981445,-0.002510293011315904,0.0003,-0.2488161551998928,,,
0.9051428437232971,4738,1130496,238,23,26.56,0.0035582125517369906,0.0036177998,-0.005055519752204418,0.038832600911458334,220,0.2,0.5014926195144653,-0.0029409369384666207,0.0003,-0.22483698088520518,,,
0.890464186668396,4754,1179648,248,24,25.28,0.003439844537994456,0.0025074913,0.005877091083675623,0.029573567708333335,230,0.2,0.49506503343582153,-0.0020021262659611237,0.0003,-0.19756178619960943,,,
0.8630357384681702,4771,1228800,257,25,24.77,0.004160044591723515,0.0030285066,0.0074995700269937515,0.030159505208333333,240,0.2,0.4513787031173706,-0.002149880580691388,0.0003,-0.17610147808833668,,,
0.9050714373588562,4784,1277952,267,26,23.8,0.004127879625775677,0.0030745165,-0.005834628827869892,0.026336669921875,250,0.2,0.4655291438102722,-0.001889394798217836,0.0003,-0.16258213916250194,,,
