time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
190,4894,933888,19,18.96,0.7179492115974426,0.005019551143050194,-0.5379736837465317,180,0.01951193765902038,0.0003,0.062689208984375,0.0044496288,0.2,0.3070904612541199,-0.0024551622750853615
203,4834,983040,20,19.36,0.7653475999832153,0.005531191825866699,-0.4807906652490298,190,0.019128859488652474,0.0003,0.05466512044270833,0.0039384887,0.2,0.3079710006713867,-0.0016640275006163088
215,4782,1032192,21,18.87,0.7658398151397705,0.018243206664919853,-0.4395127105837067,200,0.0195835568018083,0.0003,0.05054117838541667,0.0041135033,0.2,0.30390387773513794,-0.0016821824881844804
226,4779,1081344,22,18.91,0.7262265682220459,0.005235125310719013,-0.3963136866999169,210,0.019878750591063483,0.0003,0.040155029296875,0.0035824925,0.2,0.29645848274230957,-0.001088625274678634
236,4785,1130496,23,19.06,0.7584413886070251,0.009144412353634834,-0.37744658285131055,220,0.021042524910202094,0.0003,0.042856852213541664,0.0034353125,0.2,0.2835295796394348,-0.0015299866752078136
246,4790,1179648,24,16.98,0.6643475890159607,0.009373745881021023,-0.35538394587735334,230,0.019968090533802753,0.0003,0.03964640299479167,0.004390724,0.2,0.2903597950935364,-0.00199319040239061
256,4794,1228800,25,20.66,0.7808476090431213,0.002448434941470623,-0.3213205907959491,240,0.019236651097162393,0.0003,0.030271402994791665,0.0025658517,0.2,0.2863507866859436,-0.0013538100578443847
266,4796,1277952,26,18.43,0.7410077452659607,0.006712988950312138,-0.30281206768316526,250,0.018202297616032106,0.0003,0.035298665364583336,0.0029272148,0.2,0.29141759872436523,-0.0013529798250601743
276,4801,1327104,27,18.78,0.7766836285591125,0.006988552398979664,-0.26628452048171314,260,0.015996914962488517,0.0003,0.029046630859375,0.0023857362,0.2,0.2975950837135315,-0.0013972298279137855
286,4803,1376256,28,16.39,0.6948750019073486,0.005213241092860699,-0.24278513945173472,270,0.020337636096034353,0.0003,0.0261962890625,0.0020975813,0.2,0.2713671326637268,-0.0012831786123570054
296,4806,1425408,29,17.51,0.7702342867851257,0.009510790929198265,-0.22802557763643563,280,0.01913558369681899,0.0003,0.025669352213541666,0.004878992,0.2,0.28188878297805786,-0.0012153064111771529
306,4808,1474560,30,17.69,0.7026953101158142,0.005299640819430351,-0.22913287709622335,290,0.018560694430198053,0.0003,0.02357177734375,0.0033574523,0.2,0.27943480014801025,-0.0007749998949293513
317,4806,1523712,31,17.19,0.7721328139305115,0.006460973992943764,-0.21902813676279037,300,0.018199823936204968,0.0003,0.023787434895833334,0.0021188038,0.2,0.28667134046554565,-0.001236863616577466
327,4803,1572864,32,17.98,0.7885468006134033,0.006857471540570259,-0.20514995773943762,310,0.01983799592659731,0.0003,0.021834309895833334,0.0031830997,0.2,0.2762671709060669,-0.0012191808576668941
337,4800,1622016,33,19.61,0.7860507965087891,0.0019167698919773102,-0.19043688327074051,320,0.017344742244798303,0.0003,0.025602213541666665,0.012450571,0.2,0.29623836278915405,-0.00140833145481641
348,4796,1671168,34,18.94,0.7480195760726929,8.239410817623138e-06,-0.21781057359961173,330,0.01760918404761469,0.0003,0.03726603190104167,0.009959728,0.2,0.27930885553359985,-0.0018416175301808834
358,4792,1720320,35,18.36,0.7117108702659607,0.0002734251320362091,-0.20443905006783705,340,0.023063681105607733,0.0003,0.03837890625,0.019829862,0.2,0.2453891634941101,-0.00327979327673044
369,4788,1769472,36,16.7,0.7430469989776611,0.013358267024159431,-0.16477707986875126,350,0.02138745133925113,0.0003,0.02313232421875,0.022149563,0.2,0.2695885896682739,-0.002101116037799026
379,4786,1818624,37,17.42,0.7723438143730164,0.007871076464653015,-0.15232788128002236,360,0.016695093334419653,0.0003,0.025018310546875,0.00392577,0.2,0.2987900376319885,-0.0011380975043721263
390,4788,1867776,38,17.44,0.7508319616317749,0.009753427468240261,-0.14612013360795875,370,0.018132798054042117,0.0003,0.019856770833333332,0.0033882812,0.2,0.26873964071273804,-0.0010192805206922155
400,4790,1916928,39,17.94,0.7491095066070557,0.010026090778410435,-0.15436131676736597,380,0.01723162854395923,0.0003,0.018888346354166665,0.013255232,0.2,0.2800542116165161,-0.0010655634235263278
410,4793,1966080,40,18.26,0.778195321559906,0.008626958355307579,-0.1797178735723719,390,0.016825604096326666,0.0003,0.026863606770833333,0.0040347255,0.2,0.27981001138687134,-0.0015674172635650999
