time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
45056,22,471,0.8067857299999999,95,46.73,0.5410656332969666,0.008978094148915261,-0.011613778825994814,0.178369140625,0.0003,-1.1851631924510002,0.2,210,0.011602128,-0.020772775635123253
47104,23,469,0.8137857599999999,100,40.21,0.3855871558189392,0.011155393258377444,-0.012025467722560279,0.144482421875,0.0003,-1.0992443775758147,0.2,220,0.013581384,-0.034773554652929306
49152,24,469,0.8322143200000002,104,37.08,0.4896426200866699,0.010967303880897816,-0.012840768095338717,0.175146484375,0.0003,-1.024205875210464,0.2,230,0.0148053095,0.032049983739852905
51200,25,468,0.8336071700000002,109,35.88,0.4170651435852051,0.007732833102636505,-0.010446697677252814,0.138037109375,0.0003,-0.8888558769598603,0.2,240,0.012589619,-0.01331163290888071
53248,26,469,0.8347143200000001,113,35.45,0.4201546311378479,0.006191207979281898,-0.009204420183959883,0.121630859375,0.0003,-0.8201536292210221,0.2,250,0.012044955,-0.016142234206199646
55296,27,469,0.8502499900000001,117,30.9,0.44829261302948,0.006609087624383392,-0.014171872606675606,0.16201171875,0.0003,-0.6855690957978368,0.2,260,0.02704715,0.04925651103258133
57344,28,469,0.88253569,122,30.7,0.4694312810897827,0.006190702450840036,-0.008548667602008208,0.09453125,0.0003,-0.6295049322769046,0.2,270,0.012498476,-0.014536017552018166
59392,29,469,0.8761071,126,30.52,0.34937602281570435,0.005844772429554723,-0.002403851795679657,0.08837890625,0.0003,-0.5454615253023803,0.2,280,0.0076523414,-0.02404247410595417
61440,30,469,0.8870357,130,29.79,0.4533076882362366,0.007415560902882134,-0.0015735980443423614,0.09931640625,0.0003,-0.552314072009176,0.2,290,0.0079779215,0.0041643306612968445
63488,31,468,0.8652499700000001,135,27.6,0.5316753387451172,0.002654232458007755,-0.002867585694184527,0.064794921875,0.0003,-0.46927213985472915,0.2,300,0.0070805326,-0.014818063005805016
