time/fps,time/total_timesteps,time/iterations,shield/stage,rollout/ep_rew_mean,shield/transition_timestep,time/time_elapsed,shield/delta,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss
4458,1622016,33,,0.7345234155654907,,363,,17.03,0.016924813404330052,0.007043718,0.003806170541793108,0.017095947265625,320,0.2,0.2862809896469116,-0.0009911246458007858,0.0003,-0.14468137719280397
4466,1671168,34,,0.7618163824081421,,374,,17.17,0.017578425168418715,0.0024801663,0.0016102343797683716,0.01893310546875,330,0.2,0.279266893863678,-0.00091597299821539,0.0003,-0.14811827718513088
4478,1720320,35,,0.7636444568634033,,384,,17.0,0.017171374492318137,0.0032333557,0.003343153279274702,0.015785725911458333,340,0.2,0.2800127863883972,-0.0007378530803786513,0.0003,-0.15206419361444812
4489,1769472,36,,0.8163320422172546,,394,,18.67,0.017997465965891024,0.0050045447,0.0082094119861722,0.019254557291666665,350,0.2,0.2840830683708191,-0.001026286542279801,0.0003,-0.14471374173105384
4500,1818624,37,,0.8147149085998535,,404,,19.13,0.01686599961637209,0.0033514972,0.004769416525959969,0.022471110026041668,360,0.2,0.28839343786239624,-0.0010775557609728518,0.0003,-0.15141598785606522
4509,1867776,38,,0.7791796922683716,,414,,17.7,0.01738600617997387,0.0024872366,0.007014887873083353,0.017716471354166666,370,0.2,0.2825544476509094,-0.0007455826089426409,0.0003,-0.1507013683905825
4518,1916928,39,,0.7441719174385071,,424,,17.03,0.016637149374825338,0.0032577373,0.00648074597120285,0.019034830729166667,380,0.2,0.2901323437690735,-0.0010559786995751588,0.0003,-0.15303456381661817
4527,1966080,40,,0.7864022850990295,,434,,18.61,0.01784931996201825,0.0049983305,0.0021498966962099075,0.021779378255208332,390,0.2,0.27848148345947266,-0.0010801918506937605,0.0003,-0.14930739337966467
4511,2015232,41,,0.7880195379257202,,446,,18.2,0.01732215829324559,0.0024960875,0.007258920930325985,0.015517171223958333,400,0.2,0.2884642481803894,-0.0008423505166623121,0.0003,-0.14898109436423207
4519,2064384,42,,0.7585116624832153,,456,,18.09,0.018817832686424178,0.002758737,0.014006217941641808,0.016389973958333335,410,0.2,0.2831270098686218,-0.001103209192539604,0.0003,-0.13742994151155774
