time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
840,3342336,68,3977,19.65,1724154,0,1402655,0.7244687676429749,-0.46355517852740985,-0.005976977246549117,0.0003,0.09156087239583334,0.021078358889887263,0.3569391369819641,670,0.2,0.007325739599764347,0.007961001,,,
852,3391488,69,3977,19.77,1760933,0,1414351,0.7541172504425049,-0.4311620091553777,-0.004781224216276314,0.0003,0.08344319661458334,0.019732560038149435,0.32807624340057373,680,0.2,0.004332913085818291,0.0055193915,,,
865,3440640,70,3977,19.01,1797771,0,1425987,0.7368945479393005,-0.4078643084038049,-0.0035755103082919957,0.0003,0.06277669270833333,0.021430986042832955,0.3091881275177002,690,0.2,0.0061681754887104034,0.004874268,,,
877,3489792,71,3977,18.39,1835029,0,1437194,0.7968945503234863,-0.3907171382258336,-0.0029335081667644165,0.0003,0.05579833984375,0.019586175200432383,0.3072924017906189,700,0.2,0.014286326244473457,0.0058383555,,,
889,3538944,72,3977,18.73,1871984,0,1448735,0.7475624680519104,-0.3693877488685151,-0.002454156584493224,0.0003,0.04464314778645833,0.018000053682771976,0.3129631280899048,710,0.2,0.007326580584049225,0.003995646,,,
902,3588096,73,3976,18.66,1909323,0,1459913,0.7973164319992065,-0.3645297574500243,-0.0019505139878068197,0.0003,0.038616943359375,0.0201617383339908,0.2823259234428406,720,0.2,0.010776245966553688,0.004795599,,,
914,3637248,74,3975,18.7,1946947,0,1470863,0.7769296765327454,-0.36107360833945373,-0.00174245084699578,0.0003,0.03575846354166667,0.016523488599826427,0.29757022857666016,730,0.2,0.009045448154211044,0.0034400441,,,
927,3686400,75,3974,16.95,1984415,0,1481922,0.7711484432220459,-0.35493385734347005,-0.0016339167927678015,0.0003,0.03280436197916667,0.018571691480853286,0.28200727701187134,740,0.2,0.010544409975409508,0.00357579,,,
939,3735552,76,3974,17.86,2021657,0,1493277,0.7405859231948853,-0.3443318522690485,-0.001355430966032145,0.0003,0.0290771484375,0.01774890719874141,0.2939997911453247,750,0.2,0.0025363219901919365,0.0024128305,,,
952,3784704,77,3973,18.13,2058929,0,1504621,0.7788984775543213,-0.33293137329940997,-0.0012846063639396258,0.0003,0.030952962239583333,0.018482570926304714,0.2853246331214905,760,0.2,0.010648351162672043,0.0031516496,,,
965,3833856,78,3972,16.41,2095979,0,1516146,0.6941015720367432,-0.3181648808221022,-0.001539582832447195,0.0003,0.026649983723958333,0.01669263632769192,0.28242892026901245,770,0.2,0.009686552919447422,0.0030079037,,,
