time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
147,688128,14,4655,29.02,384002,0,70781,0.8864285349845886,-0.7636698902274172,-0.006041027606685626,0.0003,0.090728759765625,0.003759554169058295,0.58217853307724,130,0.2,0.001599781448021531,0.006031413,,,
159,737280,15,4626,29.7,422985,0,77696,0.8740714192390442,-0.6839081617693107,-0.004521295419969344,0.0003,0.071124267578125,0.003069066201048069,0.6046159267425537,140,0.2,0.004414240829646587,0.005114054,,,
170,786432,16,4601,29.02,462421,0,84870,0.8670713901519775,-0.6051183832188447,-0.003930354032127071,0.0003,0.06364339192708333,0.00330962028298624,0.5611449480056763,150,0.2,-0.016587428748607635,0.0045754225,,,
182,835584,17,4579,28.2,501715,0,92552,0.8805713653564453,-0.5525104840130856,-0.0022834641315663856,0.0003,0.04680582682291667,0.003105597953860221,0.5701769590377808,160,0.2,0.006217337679117918,0.003532539,,,
193,884736,18,4560,27.85,541179,0,100393,0.8806785345077515,-0.5129437341820449,-0.002444823818829415,0.0003,0.047593180338541666,0.003145841899277002,0.5622570514678955,170,0.2,0.0008011951576918364,0.003753652,,,
205,933888,19,4543,28.01,581706,0,107572,0.8901430368423462,-0.47103242242398363,-0.0030541807014742516,0.0003,0.046579996744791664,0.0027784906951031493,0.5783672332763672,180,0.2,-0.008287236094474792,0.0040297774,,,
217,983040,20,4527,27.75,621931,0,115282,0.8810356855392456,-0.4341127094812691,-0.0018918842247633923,0.0003,0.03515421549479167,0.0031622153908756447,0.5522238612174988,190,0.2,0.00044301804155111313,0.003840929,,,
229,1032192,21,4504,27.26,662642,0,122746,0.8928928971290588,-0.409699415632834,-0.0017960835313715507,0.0003,0.033589680989583336,0.0033391894728993067,0.528832197189331,200,0.2,0.003347274148836732,0.003985347,0,0.75,1000008
241,1081344,22,4482,26.72,703521,0,130235,0.8847857713699341,-0.37862265491858127,-0.0009503789732965136,0.0003,0.025919596354166668,0.002792019841520717,0.5803864002227783,210,0.2,-0.0015541152097284794,0.0026377765,,,
253,1130496,23,4463,27.62,743972,0,138335,0.8815000057220459,-0.3474797670574238,-0.0021813724171200494,0.0003,0.03298746744791667,0.0028578321454309236,0.55808424949646,220,0.2,0.0004904707311652601,0.0033627104,,,
265,1179648,24,4443,26.18,784461,0,146504,0.8867142200469971,-0.32804570825149615,-0.001265277041390315,0.0003,0.02779541015625,0.0029453462972014676,0.5353982448577881,230,0.2,0.0035029356367886066,0.0031197101,,,
