time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/policy_gradient_loss,shield_cutoff_timestep
4266,0.8941428661346436,2064384,24.26,42,483,0.0003,0.2,0.462510347366333,-0.25603700198698787,0.003215343924239278,0.010729841,410,0.03842976888020833,0.004184468116909557,-0.002944942491194524,
4263,0.8769286274909973,2113536,23.36,43,495,0.0003,0.2,0.5315321683883667,-0.24192293270025403,0.00879435334354639,0.005138787,420,0.027785237630208334,0.0028651087525455904,-0.0025039747793319596,
4260,0.9037143588066101,2162688,24.23,44,507,0.0003,0.2,0.49525803327560425,-0.22618115968070923,0.0014743818901479244,0.002596731,430,0.025087483723958335,0.0035511827972489604,-0.0015560778516676996,
4258,0.8928214311599731,2211840,24.45,45,519,0.0003,0.2,0.4580751061439514,-0.22178275595263888,0.005699360277503729,0.0031248026,440,0.023195393880208335,0.004076651708176845,-0.0013881369975327592,
4255,0.9105000495910645,2260992,25.06,46,531,0.0003,0.2,0.5084168910980225,-0.2137899588017414,-0.002175880130380392,0.004102672,450,0.021309407552083333,0.0032514798126915896,-0.001426822579924192,
4253,0.9040001630783081,2310144,24.1,47,543,0.0003,0.2,0.5826758146286011,-0.20745303314955285,0.005447445437312126,0.0027721797,460,0.023893229166666665,0.0024505462525363933,-0.0017874358094559285,
4250,0.9019642472267151,2359296,24.67,48,555,0.0003,0.2,0.4708483815193176,-0.21574783062872788,0.002770547289401293,0.0035841528,470,0.023057047526041666,0.003652877466629434,-0.0017710385234143663,
4248,0.8837143778800964,2408448,24.39,49,566,0.0003,0.2,0.5096666812896729,-0.21751914209841441,0.0010968642309308052,0.003308378,480,0.028668212890625,0.003152086661248177,-0.0023699824575790745,
4246,0.8754285573959351,2457600,24.22,50,578,0.0003,0.2,0.5168909430503845,-0.20694671924381206,0.0004025741945952177,0.015739592,490,0.025722249348958334,0.003241032614096184,-0.00188805229178494,
4250,0.5651785731315613,2506752,22.53,51,589,0.0003,0.2,0.5103884935379028,-0.19599041286079835,0.004382918123155832,0.004114021,500,0.014229329427083333,0.003534964398992694,-0.0009121341121499426,2500008
4263,0.626464307308197,2555904,24.73,52,599,0.0003,0.2,0.2296937108039856,-0.20181220685287068,-0.0005043200217187405,0.005738163,510,0.05700480143229167,0.013927860314530941,-0.00712276174138727,
4276,0.7782857418060303,2605056,22.55,53,609,0.0003,0.2,0.2535821795463562,-0.30101873697713016,0.008450131863355637,0.015826121,520,0.1044189453125,0.04609361092346565,-0.01665434879056799,
4286,0.8082857728004456,2654208,26.54,54,619,0.0003,0.2,0.2739761471748352,-0.268572344405887,-0.001182273030281067,0.015212036,530,0.10855712890625,0.030496128454493978,-0.01353846930602837,
4297,0.8766785264015198,2703360,26.39,55,629,0.0003,0.2,0.32985061407089233,-0.3052695815141002,-0.002170105930417776,0.010815906,540,0.09975382486979166,0.01753617470142975,-0.009659115138674679,
4309,0.8666428327560425,2752512,24.34,56,638,0.0003,0.2,0.35633695125579834,-0.2513000822548444,-0.014482888393104076,0.007257176,550,0.07451578776041666,0.010523294948264568,-0.008041847569741852,
4321,0.899821400642395,2801664,25.35,57,648,0.0003,0.2,0.3697535991668701,-0.2039622022692735,-0.0002594897523522377,0.0056715715,560,0.056036376953125,0.008611124371357921,-0.0053435106655645844,
4331,0.8855356574058533,2850816,24.04,58,658,0.0003,0.2,0.3623490333557129,-0.1754060473913948,-0.011335130780935287,0.002948677,570,0.04189453125,0.008113165532874216,-0.0042948667287419084,
4340,0.8687500953674316,2899968,23.39,59,668,0.0003,0.2,0.4076489210128784,-0.1509225768541607,-0.005881340242922306,0.0073861037,580,0.035817464192708336,0.005947726708836853,-0.0036369135924360307,
4351,0.8907143473625183,2949120,25.13,60,677,0.0003,0.2,0.3841158151626587,-0.1306273186385321,0.00017037824727594852,0.0025850984,590,0.026359049479166667,0.006473019767205794,-0.0023475702493063483,
4361,0.8779999613761902,2998272,23.4,61,687,0.0003,0.2,0.44364118576049805,-0.12576912159565837,0.002001773100346327,0.0020822932,600,0.02840576171875,0.004601249977076805,-0.0030519935066270895,
4356,0.8775714039802551,3047424,23.56,62,699,0.0003,0.2,0.4257742166519165,-0.10234474897151813,-0.0002239118330180645,0.018168962,610,0.023586018880208334,0.005038328542589928,-0.0022157755458768707,
4364,0.8947856426239014,3096576,24.04,63,709,0.0003,0.2,0.38253462314605713,-0.08980500708178928,0.0014212382957339287,0.0039053971,620,0.016939290364583335,0.0061431111809118494,-0.0017072909037475863,
4372,0.8915714025497437,3145728,22.32,64,719,0.0003,0.2,0.43810784816741943,-0.07742298217684342,-0.0009019304998219013,0.0016077077,630,0.014542643229166667,0.004719186082669088,-0.0010710674878585754,
4379,0.9093215465545654,3194880,22.74,65,729,0.0003,0.2,0.40025657415390015,-0.07250928949797526,0.0009079865412786603,0.0020145269,640,0.011612955729166667,0.005199141173337315,-0.0010409571084892377,
4386,0.8717142343521118,3244032,22.54,66,739,0.0003,0.2,0.41681724786758423,-0.06966762334729235,0.0017391233704984188,0.0022670964,650,0.013834635416666666,0.004605444237616514,-0.0011895235536940163,
4393,0.8887143135070801,3293184,22.99,67,749,0.0003,0.2,0.39512383937835693,-0.06826693718903698,0.00933796912431717,0.0035348379,660,0.013238525390625,0.0056919470570695315,-0.0011700657587122502,
4399,0.8552499413490295,3342336,21.93,68,759,0.0003,0.2,0.456775963306427,-0.07085773445821057,-0.0015769371530041099,0.0023679954,670,0.014154052734375,0.004522575846143202,-0.0014079757978227765,
4406,0.8878571391105652,3391488,23.25,69,769,0.0003,0.2,0.36819642782211304,-0.0833488150849007,0.0005691349506378174,0.003833094,680,0.019346110026041665,0.006251691770800486,-0.0017944167254730322,
