time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
24576,0.87757,50,488,10.63,12,0.01776631362736225,-0.9654727566987276,-0.012974649247189518,0.016153285,110,0.173291015625,0.13282018899917603,0.011452377316891216,0.2,0.0003
26624,0.8866699999999998,54,486,10.52,13,-0.006003175862133503,-0.847605349868536,-0.008612275161431171,0.007992921,120,0.106396484375,0.10112732648849487,0.01672723305382533,0.2,0.0003
28672,0.8772,59,485,9.53,14,-0.0077399881556630135,-0.8021825281903148,-0.003310745999624487,0.004845325,130,0.060302734375,0.11102265119552612,0.016815431409486336,0.2,0.0003
30720,0.8881,63,484,9.46,15,-0.011475830338895321,-0.6947419892996549,-0.009048174115014263,0.007281409,140,0.105322265625,0.10394173860549927,0.013202076963352738,0.2,0.0003
32768,0.8600800000000001,67,483,9.37,16,0.006706691347062588,-0.6005716602317989,-0.00553102830745047,0.0039264504,150,0.07333984375,0.06906074285507202,0.02208584861655254,0.2,0.0003
34816,0.9080999999999999,72,482,9.18,17,0.003323528915643692,-0.5991828070953489,-0.003602862921252381,0.0040509505,160,0.054736328125,0.0691298246383667,0.019432208040961997,0.2,0.0003
36864,0.86674,76,481,8.61,18,-0.0037544677034020424,-0.5210736070759594,-0.004742044571321458,0.0033940382,170,0.053857421875,0.04286378622055054,0.012981247402785811,0.2,0.0003
38912,0.8707899999999998,80,480,8.09,19,-0.020249616354703903,-0.45404131021350624,-0.006507970167149324,0.0036628162,180,0.070751953125,0.07563287019729614,0.023072037391830235,0.2,0.0003
40960,0.90566,85,479,8.5,20,-0.0017027445137500763,-0.40861001452431084,-0.0036576135527866425,0.0034338092,190,0.048828125,0.08268487453460693,0.01994722447998356,0.2,0.0003
43008,0.8700699999999999,89,478,8.24,21,0.0057717980816960335,-0.33460845053195953,-0.005688200120494003,0.00293429,200,0.048486328125,0.09954941272735596,0.007464731709478656,0.2,0.0003
45056,0.9127699999999999,94,477,7.91,22,0.025219786912202835,-0.32616290505975487,-0.0040271556725201664,0.0129226,210,0.03427734375,0.060422420501708984,0.020979397304472513,0.2,0.0003
47104,0.90512,98,477,8.39,23,0.00796266458928585,-0.32963987113907933,-0.0035074766652542166,0.0037185983,220,0.038671875,0.11041843891143799,0.014675500711746281,0.2,0.0003
49152,0.8848499999999997,103,476,8.56,24,0.0016184928826987743,-0.31253222627565264,-0.002905463603383396,0.0032678728,230,0.026611328125,0.1045231819152832,0.014254531462211163,0.2,0.0003
51200,0.88386,107,476,8.7,25,0.00931688491255045,-0.27876923023723066,-0.0025804888355196454,0.0034526133,240,0.032958984375,0.07222211360931396,0.01647883713922056,0.2,0.0003
53248,0.8899799999999999,111,475,8.08,26,-0.0028261039406061172,-0.2933174517005682,-0.0046632765195681715,0.007431048,250,0.048046875,0.07515740394592285,0.023183582743513398,0.2,0.0003
55296,0.9252999999999999,116,475,8.3,27,0.01573982462286949,-0.27476728046312926,-0.0005269966430205386,0.0017041757,260,0.025634765625,0.10151076316833496,0.020016824904450913,0.2,0.0003
57344,0.9012399999999999,120,474,7.9,28,0.0013614245690405369,-0.26391317122615876,-0.005020193875679979,0.018869447,270,0.0490234375,0.08938616514205933,0.01139845706820779,0.2,0.0003
59392,0.9187199999999999,125,474,7.99,29,0.010913480073213577,-0.2776705127209425,-0.0005043707184086088,0.0029065236,280,0.0265625,0.04916584491729736,0.014909543813337223,0.2,0.0003
