time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
5119,192.22,540672,11,105,0.0,-0.007409536279374152,1.0177629476674592e-06,0.2,0.09642537434895833,0.010638577,-3.602074146270752,100,0.0003,-1.8057420399660866,-0.017026064917445183
5097,198.12,589824,12,115,0.0,-0.009372024507138121,7.274311597379087e-07,0.2,0.10608113606770833,0.010705978,-3.8331832885742188,110,0.0003,-1.8089301836366454,-0.018738310784101486
5081,190.96,638976,13,125,0.0,-0.009687679451932734,5.358575182172014e-07,0.2,0.115167236328125,0.012832113,-3.966665744781494,120,0.0003,-1.8047133014226953,-0.027083372697234154
5064,191.2,688128,14,135,0.0,-0.010137684133405855,8.772183774337823e-07,0.2,0.11833089192708333,0.012547456,-4.362060546875,130,0.0003,-1.7839498406896988,-0.022021764889359474
5041,191.12,737280,15,146,0.0,-0.009650261706944245,1.3322339101821493e-06,0.2,0.12242228190104167,0.012620483,-4.723412036895752,140,0.0003,-1.766584759950638,-0.027151405811309814
5022,189.04,786432,16,156,0.0,-0.010900194925367639,8.025958327273485e-07,0.2,0.12287394205729167,0.011681666,-3.7291483879089355,150,0.0003,-1.7753934054945906,-0.009958547540009022
5009,190.64,835584,17,166,0.0,-0.012008141298307844,5.004081758075429e-07,0.2,0.124261474609375,0.012937839,-4.22147274017334,160,0.0003,-1.7711607872198025,-0.03385532647371292
4993,184.86,884736,18,177,0.0,-0.011898457002826036,4.349841623637237e-07,0.2,0.15209554036458334,0.01634038,-3.44942569732666,170,0.0003,-1.7434212492778898,-0.004165381658822298
4979,189.45,933888,19,187,0.0,-0.012760920284563326,3.945876967318777e-07,0.2,0.14297281901041667,0.014240931,-3.5563597679138184,180,0.0003,-1.7369745794062814,-0.03054010309278965
4965,188.81,983040,20,197,0.0,-0.011437546227231603,3.388680172096888e-07,0.2,0.14240926106770832,0.014529179,-5.2327375411987305,190,0.0003,-1.7254319664090871,-0.005145932547748089
4953,185.26,1032192,21,208,0.0,-0.011534623777940093,4.832606495123552e-07,0.2,0.15168863932291668,0.015404895,-4.284397125244141,200,0.0003,-1.6995808469752471,-0.02226107008755207
4943,191.34,1081344,22,218,0.0,-0.01328141720984301,4.559481351510778e-07,0.2,0.16346638997395832,0.017068094,-3.378272533416748,210,0.0003,-1.68549261149019,-0.02048375830054283
4933,193.71,1130496,23,229,0.0,-0.013775037346689108,3.481779166684499e-07,0.2,0.16433308919270834,0.015624461,-3.5611252784729004,220,0.0003,-1.6790582966059446,-0.0337102971971035
4928,186.14,1179648,24,239,0.0,-0.011824928603770483,4.1694000073958886e-07,0.2,0.14250895182291667,0.013653763,-2.8069515228271484,230,0.0003,-1.6743763834238052,-0.003242671024054289
4920,183.21,1228800,25,249,0.0,-0.011947791088823578,3.7976375531674953e-07,0.2,0.15382486979166668,0.015293305,-3.208031177520752,240,0.0003,-1.6731385080764691,-0.015494397841393948
4914,193.72,1277952,26,260,0.0,-0.01275608666316354,3.142009977826395e-07,0.2,0.15355631510416667,0.015346512,-2.949061632156372,250,0.0003,-1.6657989799355468,-0.006474297493696213
4908,191.06,1327104,27,270,0.0,-0.011150476487940372,3.307839109215986e-07,0.2,0.157501220703125,0.014403653,-4.435335636138916,260,0.0003,-1.6487812068934242,-0.030285460874438286
4905,183.98,1376256,28,280,0.0,-0.011837618399780089,3.0433357074792036e-07,0.2,0.16836954752604166,0.017175497,-4.1065354347229,270,0.0003,-1.6390982108811538,-0.020218852907419205
4902,183.73,1425408,29,290,0.0,-0.012763691759270538,3.352487305541274e-07,0.2,0.15750935872395833,0.015324946,-3.3803563117980957,280,0.0003,-1.6064084608728686,-0.026683669537305832
4899,189.67,1474560,30,300,0.0,-0.01094190581394893,3.6636889302332774e-07,0.2,0.14679768880208333,0.013972022,-2.9306883811950684,290,0.0003,-1.5660834007586042,-0.03716787323355675
4899,188.36,1523712,31,310,0.0,-0.013298255994959618,3.467661157256311e-07,0.2,0.16927897135416667,0.019823026,-3.9139175415039062,300,0.0003,-1.546006637873749,-0.03377845510840416
4898,186.96,1572864,32,321,0.0,-0.01272738474193223,3.8448292133027214e-07,0.2,0.161529541015625,0.017809037,-5.461923599243164,310,0.0003,-1.5507424440855782,-0.022206056863069534
4898,195.19,1622016,33,331,0.0,-0.012169152750114638,3.3447679602301625e-07,0.2,0.16601359049479167,0.019623863,-2.209834337234497,320,0.0003,-1.5645532210047046,-0.020213192328810692
4898,189.73,1671168,34,341,0.0,-0.011554069477400238,3.034137854999545e-07,0.2,0.16238199869791667,0.019045489,-2.3496856689453125,330,0.0003,-1.54427221827209,0.0040750387124717236
4898,192.78,1720320,35,351,0.0,-0.01107550769969142,3.4315763898599507e-07,0.2,0.16424967447916666,0.015736934,-3.653106689453125,340,0.0003,-1.5261698734015225,-0.02398606762290001
4898,191.39,1769472,36,361,0.0,-0.012052904138666538,2.2619918199999015e-07,0.2,0.17249552408854166,0.018636366,-4.525789737701416,350,0.0003,-1.5155456422517697,-0.013735183514654636
4900,193.55,1818624,37,371,0.0,-0.013327625973094353,2.423337697029145e-07,0.2,0.16775105794270834,0.016663073,-3.0590715408325195,360,0.0003,-1.5203888930380345,-0.047157224267721176
4898,189.76,1867776,38,381,0.0,-0.01280410212851469,2.565546270834792e-07,0.2,0.17444661458333333,0.017519513,-3.4961514472961426,370,0.0003,-1.4973277111227314,-0.01355278491973877
4897,193.1,1916928,39,391,0.0,-0.010838276547171214,2.101633748807785e-07,0.2,0.16613972981770833,0.016772838,-2.7075400352478027,380,0.0003,-1.4840878233313561,-0.030270572751760483
