time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,shield_cutoff_timestep
280,0.7037148475646973,27,4739,1327104,17.79,0.0028974637389183044,260,0.0003,0.02210693359375,-0.0010349253521174735,0.01767494068966092,0.0028394188,0.2842751741409302,0.2,-0.22005460842822988,
290,0.766226589679718,28,4739,1376256,19.26,0.010721156373620033,270,0.0003,0.019927978515625,-0.0008358628173179265,0.01675865722548527,0.0028933354,0.28706663846969604,0.2,-0.2128453507941837,
300,0.7793906331062317,29,4741,1425408,17.93,0.007762964349240065,280,0.0003,0.020054117838541666,-0.0009271735118090874,0.017025865869557795,0.004213505,0.29196077585220337,0.2,-0.21440330881935854,
310,0.7744688391685486,30,4742,1474560,19.02,0.010953919030725956,290,0.0003,0.027140299479166668,-0.0014937866066854137,0.017859815697253603,0.0040618083,0.2814905643463135,0.2,-0.20188582295086235,
321,0.751851499080658,31,4741,1523712,17.58,0.010798921808600426,300,0.0003,0.020939127604166666,-0.0010910572920693085,0.016718489833995893,0.0037203562,0.294983446598053,0.2,-0.19730811801273376,
331,0.7237499952316284,32,4741,1572864,17.41,0.004051213152706623,310,0.0003,0.021439615885416666,-0.0009734900854103519,0.019244120359750618,0.0032428212,0.2650488018989563,0.2,-0.19174858190429708,
342,0.7404804229736328,33,4741,1622016,18.09,0.0071770381182432175,320,0.0003,0.026999918619791667,-0.0008609820938848618,0.018675595662595395,0.02334114,0.27617156505584717,0.2,-0.1962789548172926,
352,0.7762616872787476,34,4741,1671168,18.77,0.008275512605905533,330,0.0003,0.02484130859375,-0.001426856102034435,0.017502816543128574,0.0025851352,0.28161418437957764,0.2,-0.19889080235734583,
362,0.7694961428642273,35,4740,1720320,18.18,0.004261885769665241,340,0.0003,0.028326416015625,-0.001246557770051974,0.01650628621719079,0.0034582198,0.28675180673599243,0.2,-0.192296781258968,
373,0.7685117125511169,36,4740,1769472,18.36,0.0071143400855362415,350,0.0003,0.020827229817708334,-0.0006762313769286266,0.016563719082720734,0.0018900872,0.2908381223678589,0.2,-0.18491003422532232,
383,0.770621120929718,37,4743,1818624,18.12,0.003257540985941887,360,0.0003,0.024969482421875,-0.0013493455762121206,0.01819646298705872,0.011458483,0.27555859088897705,0.2,-0.1748016463049377,
393,0.805593729019165,38,4745,1867776,18.63,0.009351870976388454,370,0.0003,0.02633056640625,-0.0015173594030784443,0.016429455502778485,0.00503607,0.2814134955406189,0.2,-0.1734118215700922,
403,0.7610430121421814,39,4748,1916928,17.3,0.014814885333180428,380,0.0003,0.024483235677083333,-0.0009012513766113746,0.017852215160382913,0.0071502365,0.27818751335144043,0.2,-0.17192937205545605,
413,0.7681952714920044,40,4751,1966080,18.06,0.006834822706878185,390,0.0003,0.019175211588541668,-0.0007471102376560641,0.016522064927509444,0.0040509403,0.28015393018722534,0.2,-0.16330423354326437,
426,0.7672812938690186,41,4728,2015232,18.51,0.008376047946512699,400,0.0003,0.016676839192708334,-0.0008367169218521061,0.015562421182160809,0.0038766768,0.29600661993026733,0.2,-0.1572966263513081,
436,0.7968945503234863,42,4729,2064384,18.61,0.005792826414108276,410,0.0003,0.016996256510416665,-0.0006724766188805612,0.016391790255511296,0.0021554271,0.28489768505096436,0.2,-0.15383875994787863,
446,0.8005155324935913,43,4731,2113536,17.64,0.004992877133190632,420,0.0003,0.017569986979166667,-0.0009150742711729738,0.017243228040994533,0.0021892253,0.27702099084854126,0.2,-0.15717007917895293,
456,0.8257694840431213,44,4734,2162688,18.78,0.004411834292113781,430,0.0003,0.015472412109375,-0.0007814999460303321,0.01869649685516682,0.0022346212,0.27798187732696533,0.2,-0.1542200414231047,
466,0.8255584836006165,45,4736,2211840,18.71,0.004836142994463444,440,0.0003,0.020001220703125,-0.000983587324723582,0.017645032256162572,0.0022022289,0.2842799425125122,0.2,-0.15035221627525364,
477,0.7805859446525574,46,4739,2260992,17.58,0.0072053708136081696,450,0.0003,0.02034912109375,-0.0009957127573215984,0.018087165135026832,0.0027911607,0.2754383087158203,0.2,-0.1551013991663543,
487,0.7696717977523804,47,4741,2310144,17.58,0.00889670755714178,460,0.0003,0.031964111328125,-0.001509786525578723,0.017390234637423417,0.018488575,0.27052998542785645,0.2,-0.17313064499758185,
497,0.760937511920929,48,4743,2359296,17.83,-0.001430911011993885,470,0.0003,0.031001790364583334,-0.001581060468834039,0.01994478859390559,0.004755696,0.26289284229278564,0.2,-0.17966362552251666,
507,0.7766484022140503,49,4745,2408448,19.11,0.007755157072097063,480,0.0003,0.021506754557291667,-0.0008323026565752419,0.017922765253752006,0.003750233,0.2882080078125,0.2,-0.1642816726739208,
517,0.7589688301086426,50,4747,2457600,18.05,0.007198737934231758,490,0.0003,0.026523844401041666,-0.0015580969917209585,0.017136849885476597,0.0041801836,0.28286898136138916,0.2,-0.1625321251534236,
528,0.7771405577659607,51,4747,2506752,18.65,0.0021646078675985336,500,0.0003,0.023649088541666665,-0.0014033988722076175,0.018945205089160786,0.0032072142,0.2759140729904175,0.2,-0.1687035602866672,
538,0.815066397190094,52,4747,2555904,19.15,0.0055155460722744465,510,0.0003,0.023506673177083333,-0.0012980404811969493,0.01684621750731215,0.0062109535,0.29663199186325073,0.2,-0.1561656208980518,
548,0.7583710551261902,53,4747,2605056,18.15,-0.0013456745073199272,520,0.0003,0.021134440104166666,-0.0012459074436871258,0.01936428115805029,0.0043081823,0.2771431803703308,0.2,-0.15158885411219672,
559,0.7812539935112,54,4746,2654208,17.95,0.01868472993373871,530,0.0003,0.0176513671875,-0.0010502872494726034,0.019587080667406553,0.0043163975,0.2742854952812195,0.2,-0.14627893884899096,
569,0.7891796231269836,55,4746,2703360,17.89,0.000941956415772438,540,0.0003,0.019222005208333334,-0.0007871422576802918,0.016244641922336694,0.072498344,0.30015337467193604,0.2,-0.1488730112517563,
579,0.7348398566246033,56,4745,2752512,16.81,0.01198878139257431,550,0.0003,0.02193603515625,-0.0012576910877214686,0.017307508294955674,0.002123866,0.2898869514465332,0.2,-0.17014409503123412,
590,0.7802343964576721,57,4745,2801664,17.82,0.00663683470338583,560,0.0003,0.023170979817708333,-0.0010524387391948645,0.016942412367401023,0.0058583897,0.2896062135696411,0.2,-0.15613543146755546,
600,0.7878788709640503,58,4745,2850816,18.26,0.009377410635352135,570,0.0003,0.022662353515625,-0.0011606755141959487,0.018391036822868044,0.011019495,0.28745782375335693,0.2,-0.14988576215303814,
611,0.8069648742675781,59,4744,2899968,19.19,0.010113139636814594,580,0.0003,0.01527099609375,-0.000990591183047703,0.016953631320939168,0.0014725365,0.29010528326034546,0.2,-0.14358221621563036,
621,0.7444883584976196,60,4744,2949120,16.6,0.006258988752961159,590,0.0003,0.018284098307291666,-0.001344024432455626,0.019622727456347397,0.0053175986,0.26741570234298706,0.2,-0.1313286145993819,
632,0.797351598739624,61,4743,2998272,18.18,0.004119136370718479,600,0.0003,0.033304850260416664,-0.001491888410904115,0.017294580413848355,0.0038219448,0.28951704502105713,0.2,-0.1489871925751989,
644,0.8132383227348328,62,4726,3047424,19.39,0.010702541097998619,610,0.0003,0.03849080403645833,-0.0017996037933698972,0.016525715464376846,0.0059192874,0.2793182134628296,0.2,-0.17160705473894874,
655,0.7379491925239563,63,4725,3096576,18.47,0.0031035314314067364,620,0.0003,0.04074503580729167,-0.0020975749272110988,0.015650403022785517,0.04804622,0.290427565574646,0.2,-0.18668228223298985,
665,0.7647498846054077,64,4726,3145728,19.44,0.0009615728631615639,630,0.0003,0.0473388671875,-0.002295495331660883,0.016712474811477782,0.039103925,0.29050928354263306,0.2,-0.17588956032413988,
676,0.7011836171150208,65,4726,3194880,17.55,0.014757595956325531,640,0.0003,0.027362060546875,-0.0013335067756391557,0.017114735018306723,0.0023798877,0.2917202115058899,0.2,-0.19005853342047582,
686,0.760058581829071,66,4726,3244032,18.32,0.010234457440674305,650,0.0003,0.032240804036458334,-0.0015549404874036555,0.017842027755007924,0.003892823,0.283053457736969,0.2,-0.18097994584434976,
696,0.769601583480835,67,4726,3293184,18.08,0.008040711283683777,660,0.0003,0.023486328125,-0.0011769110977184027,0.018106670918253562,0.003445598,0.29943323135375977,0.2,-0.1855064566557606,
707,0.7385821342468262,68,4726,3342336,18.23,0.006044034380465746,670,0.0003,0.021028645833333335,-0.000972188611861687,0.016572946690333386,0.0018831909,0.30069708824157715,0.2,-0.17462880957561236,
717,0.7562617659568787,69,4726,3391488,18.56,0.006895906291902065,680,0.0003,0.020041910807291667,-0.001071891470473929,0.017468318581571416,0.0026253115,0.28835582733154297,0.2,-0.1742927092205112,
727,0.7692852020263672,70,4726,3440640,18.0,0.0037046698853373528,690,0.0003,0.021877034505208334,-0.0011266963777719259,0.017836082867628042,0.0027545088,0.2779039740562439,0.2,-0.17216303755218784,
738,0.7891445755958557,71,4726,3489792,18.08,0.012176035903394222,700,0.0003,0.018621826171875,-0.0013313088309284164,0.017736630037931415,0.0044696806,0.283821165561676,0.2,-0.1586263072444126,
