time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,shield_cutoff_timestep
262,0.7544444799423218,24,4491,1179648,43.08,-0.005207562819123268,230,0.0003,0.045969645182291664,-0.002564003116094682,0.013210354072361952,0.003946289,0.5136677026748657,0.2,-0.5023535683440665,
272,0.7436944842338562,25,4507,1228800,41.22,0.010934876278042793,240,0.0003,0.042205810546875,-0.0020255484429071656,0.013113214122131466,0.003878121,0.5177133083343506,0.2,-0.46204211660660804,
282,0.7381110191345215,26,4522,1277952,39.7,0.006044955924153328,250,0.0003,0.03988444010416667,-0.0020319575325629556,0.0125059485064412,0.0039512995,0.5295282006263733,0.2,-0.42063424149528145,
292,0.7446109652519226,27,4537,1327104,44.14,0.004928692243993282,260,0.0003,0.037404378255208336,-0.0019694320174797517,0.012922111377459562,0.0035137516,0.5227600336074829,0.2,-0.40611764453351495,
302,0.7578054666519165,28,4550,1376256,42.16,0.014013414271175861,270,0.0003,0.0365478515625,-0.0021231340426917694,0.012014590906862093,0.0035001365,0.5266519784927368,0.2,-0.40210107729459804,
312,0.7645276784896851,29,4560,1425408,40.57,-0.0009746248833835125,280,0.0003,0.03225301106770833,-0.0016504580766195432,0.012480923208931927,0.0037065616,0.4981986880302429,0.2,-0.3789434378966689,
322,0.7796388864517212,30,4571,1474560,37.6,0.0032588914036750793,290,0.0003,0.03188883463541667,-0.0014206937343260507,0.013381477605435066,0.0026578682,0.49684953689575195,0.2,-0.35532231236187123,
332,0.7673611640930176,31,4580,1523712,38.47,0.007440819870680571,300,0.0003,0.031962076822916664,-0.0015012853285952588,0.013280616332728338,0.002683825,0.5074654817581177,0.2,-0.32411734154447913,
342,0.7504444122314453,32,4589,1572864,41.03,0.0027790353633463383,310,0.0003,0.0288330078125,-0.0015651955850141046,0.012965827498555882,0.0025821454,0.5082186460494995,0.2,-0.3110523969090233,
352,0.726722240447998,33,4597,1622016,39.76,0.002170553430914879,320,0.0003,0.031728108723958336,-0.0020900029589635476,0.01311732113705754,0.00417441,0.49789369106292725,0.2,-0.30256906926321486,
362,0.765250027179718,34,4605,1671168,39.61,-0.0022402466274797916,330,0.0003,0.031756591796875,-0.0017167285949350722,0.012211633973007945,0.005094676,0.5050532817840576,0.2,-0.29943440267040083,
372,0.7584166526794434,35,4612,1720320,38.47,0.003665200900286436,340,0.0003,0.03194986979166667,-0.0014251099428899275,0.011740283406106755,0.0034873274,0.5030323266983032,0.2,-0.284213024067382,
383,0.7196388840675354,36,4619,1769472,35.32,0.010113617405295372,350,0.0003,0.031013997395833333,-0.0016223793531025877,0.013277470655884827,0.004133499,0.48999547958374023,0.2,-0.28074070170211296,
393,0.7715277075767517,37,4625,1818624,41.07,0.0035174726508557796,360,0.0003,0.024629720052083335,-0.0011737471321794147,0.01423479758426159,0.0031833062,0.49235057830810547,0.2,-0.2568685096610958,
403,0.7336666584014893,38,4630,1867776,37.2,0.006276055704802275,370,0.0003,0.025238037109375,-0.0013802261895762059,0.013513961043160331,0.0026288535,0.5077222585678101,0.2,-0.2408287458276997,
413,0.7223333120346069,39,4635,1916928,37.48,0.0035336092114448547,380,0.0003,0.023972574869791666,-0.0013287516674608923,0.013835828642428775,0.0035207092,0.4947863817214966,0.2,-0.21360991360464443,
423,0.7488610744476318,40,4642,1966080,35.19,3.107171505689621e-05,390,0.0003,0.021976725260416666,-0.0012977947646201453,0.013356584767461755,0.0025711441,0.5146461725234985,0.2,-0.20682248891486477,
436,0.6778889298439026,41,4618,2015232,36.59,0.0038505885750055313,400,0.0003,0.020290120442708334,-0.0013095892422218943,0.013363366865572364,0.0025617983,0.5015239119529724,0.2,-0.1924159384254987,
446,0.7592778205871582,42,4619,2064384,37.6,0.0052517433650791645,410,0.0003,0.020906575520833335,-0.0010303845302284268,0.012073124817349404,0.0023664208,0.5108956694602966,0.2,-0.19549606337677689,
457,0.7233055830001831,43,4620,2113536,37.68,-0.001992990728467703,420,0.0003,0.023372395833333334,-0.0013735479873275835,0.012874260432242105,0.0025247522,0.47170180082321167,0.2,-0.19434845708310605,
467,0.7287500500679016,44,4622,2162688,35.5,0.006795796565711498,430,0.0003,0.023512776692708334,-0.0015237524958744567,0.013818763384673123,0.0027454179,0.4896773099899292,0.2,-0.2054250826050217,
478,0.7648332715034485,45,4622,2211840,40.46,0.004279435146600008,440,0.0003,0.023193359375,-0.0013843663743197492,0.012332702714775223,0.0026240535,0.4950850009918213,0.2,-0.1944831718923524,
488,0.7387776970863342,46,4625,2260992,39.24,0.0065574925392866135,450,0.0003,0.02130126953125,-0.0010378659606431028,0.011772947836774014,0.0021764485,0.5010068416595459,0.2,-0.18653846396288523,
