time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
4139,540672,0.6945834159851074,11,47.61,130,100,-0.0046986307732974335,0.2,0.008040923,0.0003,-1.2651738264908394,0.011028448247816413,-0.0012332899495959282,0.5972045063972473,0.082635498046875,,,
4114,589824,0.7255833148956299,12,44.35,143,110,-0.003916654862102102,0.2,0.007560445,0.0003,-1.1879167278607687,0.011193723157581796,-0.00284507405012846,0.5904229879379272,0.08150431315104166,,,
4105,638976,0.7543610334396362,13,51.5,155,120,-0.003752640642718082,0.2,0.0066395807,0.0003,-1.1414870485663413,0.011411877651213823,0.005372439511120319,0.5705817937850952,0.07391764322916666,,,
4096,688128,0.7372221946716309,14,46.63,167,130,-0.0035453488199588415,0.2,0.007430035,0.0003,-1.091205535766979,0.010671330420397378,-0.006722738035023212,0.5691666603088379,0.07897135416666666,,,
4090,737280,0.7362222075462341,15,42.8,180,140,-0.0023922931408378646,0.2,0.005973915,0.0003,-1.0561396322523555,0.011342606183461612,0.0016386490315198898,0.5380769968032837,0.06268717447916666,,,
4083,786432,0.7324444651603699,16,44.37,192,150,-0.003566332424270513,0.2,0.0067337803,0.0003,-1.0123685696472724,0.011112265637590706,0.0031768102198839188,0.5586507320404053,0.07184244791666666,,,
4075,835584,0.7353611588478088,17,43.69,205,160,-0.002165786182407222,0.2,0.0053876373,0.0003,-0.9591570226165156,0.010373755677574082,0.008572735823690891,0.5344943404197693,0.06075642903645833,,,
4069,884736,0.7533609867095947,18,43.88,217,170,-0.0024989063737545316,0.2,0.005703363,0.0003,-0.9343833169278999,0.010791722300685555,0.003573089838027954,0.5496172904968262,0.05871378580729167,,,
4065,933888,0.723277747631073,19,40.63,229,180,-0.0021070725759879377,0.2,0.005547779,0.0003,-0.9119125489766399,0.010877205520713081,0.005074610002338886,0.5262306928634644,0.055816650390625,,,
4010,983040,0.7467500567436218,20,42.66,245,190,-0.0027102349161092815,0.2,0.006216423,0.0003,-0.8696746114951869,0.010970289484976092,0.006798458285629749,0.5212204456329346,0.06578572591145833,,,
3961,1032192,0.7620001435279846,21,41.09,260,200,-0.0024285945103959725,0.2,0.005667316,0.0003,-0.8352049235254526,0.01073645988338588,0.006623068358749151,0.526761531829834,0.06402180989583334,1000008,0.2,0
3959,1081344,0.7552222609519958,22,42.96,273,210,-0.002039966379440254,0.2,0.005281864,0.0003,-0.8340779665236672,0.010734599723703771,-0.007484216243028641,0.5152342319488525,0.057232666015625,,,
3957,1130496,0.7026944756507874,23,41.33,285,220,-0.002045605254473533,0.2,0.0055566994,0.0003,-0.8090475918725133,0.010557485581375658,0.0075761363841593266,0.5185253024101257,0.05456746419270833,,,
3950,1179648,0.7997500896453857,24,44.35,298,230,-0.0017759078941404975,0.2,0.004980345,0.0003,-0.7941873136286934,0.010464939953089924,-0.0054018874652683735,0.5285265445709229,0.05340983072916667,,,
3944,1228800,0.7343611121177673,25,43.64,311,240,-0.0019293397752335295,0.2,0.005321073,0.0003,-0.7834048291357855,0.010976025100778013,0.020522993057966232,0.5186820030212402,0.050665283203125,,,
3938,1277952,0.7404999732971191,26,41.61,324,250,-0.0019063278092896023,0.2,0.0049797553,0.0003,-0.7804944694352647,0.01036796232413811,0.0025030113756656647,0.5283589363098145,0.04984334309895833,,,
3933,1327104,0.7016666531562805,27,38.87,337,260,-0.0023210331881273307,0.2,0.005244516,0.0003,-0.7629589109371105,0.010690708600304789,0.005546791013330221,0.5211911201477051,0.057297770182291666,,,
