time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
5098,200.0,1376256,28,269,0.0,-0.009074985025108617,2.789399384806046e-07,0.2,0.09019368489583333,0.010815459,-2.0445425510406494,270,0.0003,-1.4788600120693445,-0.02893092855811119
5100,198.36,1425408,29,279,0.0,-0.00983214797549105,2.2129968644627832e-07,0.2,0.09955647786458334,0.012762534,-1.7174675464630127,280,0.0003,-1.4453133129204312,-0.033713486045598984
5100,199.88,1474560,30,289,0.0,-0.008851489684032762,1.714409814409142e-07,0.2,0.12263590494791667,0.0146694975,-4.966281890869141,290,0.0003,-1.4820701587945222,-0.0011474152561277151
5093,198.95,1523712,31,299,0.0,-0.007389916595851294,2.805981932751944e-07,0.2,0.09183349609375,0.012233625,-4.2404632568359375,300,0.0003,-1.4842864224687218,-0.006852238439023495
5087,198.71,1572864,32,309,0.0,-0.00852734491221175,3.362620734563097e-07,0.2,0.10241292317708334,0.012355979,-2.671255588531494,310,0.0003,-1.493774933864673,-0.014496898278594017
5081,196.32,1622016,33,319,0.0,-0.008976625782209643,1.9865981853624722e-07,0.2,0.09909464518229166,0.013124064,-3.235199451446533,320,0.0003,-1.4902870831390223,-0.02559022791683674
5079,197.7,1671168,34,329,0.0,-0.0065507702987815716,2.127102433672571e-07,0.2,0.096954345703125,0.016628718,-3.0807433128356934,330,0.0003,-1.5231890611971417,0.0001392940030200407
5075,199.94,1720320,35,338,0.0,-0.01025511660476089,2.523821955998281e-07,0.2,0.1404541015625,0.021657323,-5.311758995056152,340,0.0003,-1.5300068520009518,-0.02560875378549099
5073,198.55,1769472,36,348,0.0,-0.009635293955216184,4.212840828410336e-07,0.2,0.12649332682291667,0.011703567,-3.310962200164795,350,0.0003,-1.5198695103948314,-0.013132216408848763
5073,199.96,1818624,37,358,0.0,-0.008875021890647379,3.404787477512272e-07,0.2,0.13445027669270834,0.015959987,-2.595386266708374,360,0.0003,-1.49492142641296,-0.023875705897808075
5071,198.36,1867776,38,368,0.0,-0.009295218964901627,3.094635337023514e-07,0.2,0.113507080078125,0.012980516,-1.4031264781951904,370,0.0003,-1.4899216766779622,-0.03446376696228981
5070,199.17,1916928,39,378,0.0,-0.007479855883138953,4.6552895945906057e-07,0.2,0.10146687825520834,0.010396603,-1.6195957660675049,380,0.0003,-1.480577299868067,-0.016266867518424988
5068,198.05,1966080,40,387,0.0,-0.010451036963058869,3.3375012394124917e-07,0.2,0.13647664388020833,0.01879362,-2.5214288234710693,390,0.0003,-1.4713427925482392,-0.015227603726089
