time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,shield/stage,shield/delta,shield/transition_timestep
1376256,27.27,319,4310,28,0.8827500343322754,0.5721914768218994,0.0003,0.0034045218490064144,0.2,0.010487351,0.0024912799379308128,0.020987955729166667,-0.27201590987388047,270,-0.001054094679299548,,,
1425408,26.21,330,4313,29,0.8964999318122864,0.5637552738189697,0.0003,0.0016067512333393097,0.2,0.0022234116,0.002644363636500202,0.018581136067708334,-0.25733401007018986,280,-0.0009702390556412865,,,
1474560,27.17,341,4314,30,0.8554642200469971,0.5537945628166199,0.0003,0.00512048602104187,0.2,0.003517682,0.0027964797693736426,0.023402913411458334,-0.24789737386163324,290,-0.0014549803125191829,,,
1523712,28.34,353,4316,31,0.8888572454452515,0.49949193000793457,0.0003,0.0017626081826165318,0.2,0.0021834394,0.003349558834573448,0.020082600911458335,-0.23213710704197485,300,-0.0008045657670966951,,,
1572864,29.35,364,4317,32,0.8852500319480896,0.5363430976867676,0.0003,-0.002793665276840329,0.2,0.010645046,0.0026567608074401505,0.024196370442708334,-0.23718651741898308,310,-0.0013234314928013192,,,
1622016,26.94,375,4319,33,0.8746427893638611,0.5624803304672241,0.0003,-0.0011356051545590162,0.2,0.0042616865,0.002525051380083217,0.03555704752604167,-0.27079570457960167,320,-0.0026529122125793945,,,
1671168,26.15,386,4320,34,0.9066070318222046,0.5518633127212524,0.0003,0.004084320738911629,0.2,0.0023052492,0.002749826728722837,0.0279296875,-0.25643168804235755,330,-0.0022710111286263174,,,
1720320,26.45,398,4321,35,0.9055357575416565,0.580214262008667,0.0003,-0.004801958799362183,0.2,0.0021248378,0.002515845091390171,0.022886149088541665,-0.24030146092021218,340,-0.0018256316887345747,,,
1769472,27.09,409,4318,36,0.8933214545249939,0.593454122543335,0.0003,-0.0031146665569394827,0.2,0.0046644434,0.0023038966329598527,0.019061279296875,-0.23510177288359652,350,-0.0016285557209812396,,,
1818624,28.71,421,4318,37,0.8875356912612915,0.5783825516700745,0.0003,-0.008373367600142956,0.2,0.0029516101,0.0024825829845819196,0.026576741536458334,-0.25863062995485964,360,-0.0022149557322942806,,,
1867776,27.1,432,4319,38,0.9032142758369446,0.5499269962310791,0.0003,-0.0008720359764993191,0.2,0.00506871,0.002770169002178591,0.03209635416666667,-0.24274876556980113,370,-0.0023612791450735434,,,
1916928,26.91,443,4320,39,0.8844642639160156,0.5049275159835815,0.0003,0.0016241297125816345,0.2,0.002432084,0.0033058237238947187,0.018210856119791667,-0.2330205394420773,380,-0.000945625903295877,,,
1966080,27.15,454,4321,40,0.8931429386138916,0.5401633977890015,0.0003,-0.004151465371251106,0.2,0.002567068,0.0029306139240967847,0.021232096354166667,-0.2290256258100271,390,-0.0013450970624035107,,,
2015232,27.65,468,4301,41,0.8533927798271179,0.5872893333435059,0.0003,-0.000589428236708045,0.2,0.0026339404,0.002469060552296772,0.020741780598958332,-0.22745196129350612,400,-0.0016916329273347704,1,0.6,2000016
2064384,27.77,479,4302,42,0.8908928632736206,0.5437551736831665,0.0003,-0.004180646501481533,0.2,0.0047592926,0.0027913292376979372,0.03262939453125,-0.22905156260045867,410,-0.0020078727896058507,,,
2113536,27.07,491,4303,43,0.893750011920929,0.5142655372619629,0.0003,-0.0030605902429670095,0.2,0.007719534,0.0031123483157595427,0.042128499348958334,-0.22544348277151585,420,-0.0039579826194919105,,,
2162688,26.38,502,4304,44,0.8867856860160828,0.4703318476676941,0.0003,0.006549755111336708,0.2,0.0033296521,0.003970593298314877,0.03331705729166667,-0.20789745703805237,430,-0.0025241414782916157,,,
2211840,25.56,513,4305,45,0.8703572750091553,0.5450829267501831,0.0003,-0.000462269876152277,0.2,0.0025890106,0.0028672212802727396,0.03429361979166667,-0.19285930903473247,440,-0.0026729154965020522,,,
2260992,25.59,525,4305,46,0.8690000176429749,0.5167521238327026,0.0003,0.002073789481073618,0.2,0.0024870385,0.0032592725020246386,0.029317220052083332,-0.18877518589918812,450,-0.002237881426723713,,,
2310144,27.56,536,4306,47,0.9015713334083557,0.4932444095611572,0.0003,-0.0033059250563383102,0.2,0.004590287,0.0035580944389948855,0.0373291015625,-0.18198497858053694,460,-0.00277914533310953,,,
2359296,25.75,547,4307,48,0.8882498741149902,0.5135260820388794,0.0003,-0.0038511021994054317,0.2,0.0035408672,0.003103062285845226,0.025807698567708332,-0.16976236157352104,470,-0.0019901875939467573,,,
2408448,26.43,559,4307,49,0.8867143392562866,0.5083746314048767,0.0003,-0.00873403251171112,0.2,0.06360555,0.0034432143983697946,0.019877115885416668,-0.1750964651349932,480,0.0003699135027394126,,,
2457600,24.99,570,4305,50,0.8809642791748047,0.5607247352600098,0.0003,0.0004588052397593856,0.2,0.0018096085,0.0025625270363889285,0.020009358723958332,-0.1930121415372317,490,-0.0013002381306250754,,,
2506752,25.41,582,4306,51,0.8894644379615784,0.5363177061080933,0.0003,-0.0021396861411631107,0.2,0.0020873684,0.00286459676517552,0.019142659505208333,-0.19284827252073836,500,-0.0013998865792018479,,,
2555904,24.86,593,4307,52,0.9013570547103882,0.5298235416412354,0.0003,-0.004849453456699848,0.2,0.0018266895,0.00311458815504011,0.016217041015625,-0.1928562206837038,510,-0.0011971190881013172,,,
2605056,25.29,604,4307,53,0.8898928761482239,0.5308277606964111,0.0003,-0.005263589322566986,0.2,0.001831477,0.0030262767595559126,0.019120279947916666,-0.19256770458693306,520,-0.0011669151031431587,,,
2654208,26.37,616,4308,54,0.8961070775985718,0.5678632259368896,0.0003,0.003236244898289442,0.2,0.002127122,0.0025072927319342853,0.016241455078125,-0.19214274142092716,530,-0.0009988924316227592,,,
2703360,24.52,627,4309,55,0.8927143216133118,0.5524578094482422,0.0003,-0.008011672645807266,0.2,0.0028009855,0.0026489321666304023,0.027707926432291665,-0.1924189035392677,540,-0.002261526708995613,,,
