time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,shield/stage,shield/delta,shield/transition_timestep
983040,17.88,238,4115,20,0.7414296865463257,0.2870106101036072,0.0003,0.00797942653298378,0.2,0.005717466,0.017569893620384393,0.054368082682291666,-0.997032008630534,190,-0.0013286940918987966,,,
1032192,29.84,253,4072,21,0.6325820684432983,0.29994261264801025,0.0003,0.006159529089927673,0.2,0.005514382,0.01674189101649972,0.047210693359375,-0.9701869053766131,200,-0.0010945574923425737,0,0.8,1000008
1081344,25.89,265,4072,22,0.734078049659729,0.3060898184776306,0.0003,-0.002843016292899847,0.2,0.009081973,0.01883387259780041,0.09964192708333333,-0.9640260888574024,210,-0.005423805958192436,,,
1130496,22.85,277,4071,23,0.6857149004936218,0.35471367835998535,0.0003,0.00854929257184267,0.2,0.008936837,0.017484425294969696,0.128826904296875,-0.9441719628560047,220,-0.008391340648328575,,,
1179648,22.54,289,4070,24,0.7137811779975891,0.34998077154159546,0.0003,0.0014010174199938774,0.2,0.009669497,0.015968920424590274,0.11432902018229167,-0.9007241187927624,230,-0.006100166094256565,,,
1228800,20.14,301,4070,25,0.7054882645606995,0.3370654582977295,0.0003,-0.0001669377088546753,0.2,0.0071982606,0.01776993163706114,0.085052490234375,-0.8753674810441832,240,-0.003998140582370979,,,
1277952,20.2,313,4071,26,0.7710937261581421,0.31334251165390015,0.0003,0.011712918058037758,0.2,0.007010775,0.01980488478972499,0.08217366536458333,-0.8545052379059295,250,-0.003953492655667409,,,
1327104,19.11,326,4065,27,0.7563670873641968,0.3331611156463623,0.0003,0.001810937188565731,0.2,0.0056160768,0.01663433007634012,0.06662190755208333,-0.8334582220142086,260,-0.0027753839531214908,,,
1376256,19.56,338,4064,28,0.735769510269165,0.3092217445373535,0.0003,0.007092598360031843,0.2,0.006079269,0.01635330003797814,0.06720174153645833,-0.8179945599287748,270,-0.0030874900136041105,,,
1425408,18.42,350,4064,29,0.808230459690094,0.2890733480453491,0.0003,-0.0015469491481781006,0.2,0.0063283243,0.01830786957410358,0.058258056640625,-0.7898775175213814,280,-0.0018423873341816943,,,
1474560,19.32,362,4064,30,0.7932382822036743,0.3000030517578125,0.0003,0.006198063492774963,0.2,0.0050850813,0.015435505058121635,0.05421142578125,-0.7740187120313445,290,-0.00168771844322085,,,
1523712,18.1,374,4064,31,0.7391092777252197,0.2843403220176697,0.0003,-0.0030953590758144855,0.2,0.005362583,0.016880975799964896,0.048421223958333336,-0.7570697630134722,300,-0.0015166528739428032,,,
1572864,16.93,387,4064,32,0.733468770980835,0.2947292923927307,0.0003,0.006132805719971657,0.2,0.005296154,0.01647508937991612,0.052093505859375,-0.7468690702070793,310,-0.0021977651537478473,,,
1622016,16.95,399,4063,33,0.7539608478546143,0.28744781017303467,0.0003,-0.0041860612109303474,0.2,0.0053716637,0.017231800323497738,0.04696858723958333,-0.7405739097235103,320,-0.0016960377319264809,,,
1671168,18.08,411,4063,34,0.7383359670639038,0.29248231649398804,0.0003,-0.003616249654442072,0.2,0.0052113626,0.018753714620591683,0.04272664388020833,-0.7202791381627321,330,-0.001476677460444383,,,
1720320,18.1,423,4063,35,0.7497773170471191,0.2872586250305176,0.0003,0.007449133321642876,0.2,0.0047705024,0.01854983638744064,0.04229736328125,-0.7038300639639298,340,-0.0014452303602714286,,,
1769472,18.59,435,4064,36,0.7767890095710754,0.29173147678375244,0.0003,0.009885890409350395,0.2,0.004213502,0.01737864748186742,0.036848958333333334,-0.6918188454893728,350,-0.0008123254963720683,,,
1818624,19.26,447,4063,37,0.8132382035255432,0.2878645658493042,0.0003,0.015968328341841698,0.2,0.0050119404,0.017321143740749296,0.039617919921875,-0.7012521734461188,360,-0.0015550921726268522,,,
1867776,18.44,459,4061,38,0.7676329016685486,0.29173117876052856,0.0003,0.004704744089394808,0.2,0.004553949,0.016505572038052682,0.03617146809895833,-0.7041995067459842,370,-0.0007004423138520602,,,
1916928,18.15,471,4062,39,0.7888281345367432,0.28681325912475586,0.0003,-0.0016377228312194347,0.2,0.006117437,0.0164409351098584,0.040059407552083336,-0.7028365193555752,380,-0.0016607033387117554,,,
1966080,19.52,484,4061,40,0.7938358783721924,0.2911749482154846,0.0003,0.007779961451888084,0.2,0.004168494,0.01527257398411166,0.031125895182291665,-0.6797364236476521,390,-0.0006849318714254575,,,
2015232,18.84,498,4042,41,0.7473515272140503,0.2770981192588806,0.0003,0.014477493241429329,0.2,0.005824058,0.017924625257243556,0.04223836263020833,-0.6774040671996773,400,-0.0016415452576135673,1,0.6,2000016
2064384,20.31,510,4042,42,0.7616913318634033,0.28268295526504517,0.0003,0.029459208250045776,0.2,0.004725008,0.017412547453083484,0.04143880208333333,-0.6743791324707369,410,-0.0018163070711428493,,,
2113536,18.13,522,4041,43,0.7581953406333923,0.2841670513153076,0.0003,0.016659406945109367,0.2,0.012045179,0.016706684059560453,0.058797200520833336,-0.6649506193275253,420,-0.002672653578580745,,,
2162688,19.29,535,4038,44,0.7846797108650208,0.29513978958129883,0.0003,-0.0038320738822221756,0.2,0.0073294253,0.016928710320886844,0.04919840494791667,-0.6472565453189115,430,-0.002553067446994343,,,
2211840,17.16,547,4038,45,0.7429414391517639,0.2881397604942322,0.0003,0.023092439398169518,0.2,0.005749989,0.01804238675831584,0.036749267578125,-0.6415630438675483,440,-0.001402439544108347,,,
