time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
4292,2949120,0.8655714392662048,60,26.55,687,590,-0.0018257663467011298,0.2,0.0022144313,0.0003,-0.23442126583152761,0.0029920247884244115,-0.002674911869689822,0.5438324213027954,0.019728597005208334,,,
4289,2998272,0.8807857632637024,61,27.86,698,600,-0.0012816176470247834,0.2,0.0021466154,0.0003,-0.23473446969874204,0.002816664741476416,-0.005441953428089619,0.5510445833206177,0.019399007161458332,,,
4273,3047424,0.8911786079406738,62,27.76,713,610,-0.0012950510661539738,0.2,0.002743043,0.0003,-0.22381604940940936,0.002472783378713454,0.00039369636215269566,0.5864307880401611,0.022068277994791666,3000000,0.6,2
4274,3096576,0.8564286231994629,63,26.39,724,620,-0.0013299123419831934,0.2,0.001515415,0.0003,-0.21351097316170733,0.0025757971830898895,-0.00855721440166235,0.5616962909698486,0.01689453125,,,
4274,3145728,0.8756071329116821,64,26.53,735,630,-0.0016269752542939387,0.2,0.002107587,0.0003,-0.21478268350474536,0.0031201596810205958,0.00065444759093225,0.5266262292861938,0.021970621744791665,,,
4275,3194880,0.8858928680419922,65,26.44,747,640,-0.001172054997611364,0.2,0.0019235929,0.0003,-0.2075299969408661,0.0025797075300943106,0.0004218884860165417,0.5722997784614563,0.018511962890625,,,
4276,3244032,0.8885713815689087,66,28.42,758,650,-0.0009581021894822091,0.2,0.0015371515,0.0003,-0.2135994565906003,0.0028660816436361833,0.0027433992363512516,0.5486724376678467,0.015415445963541666,,,
4277,3293184,0.881642758846283,67,27.59,769,660,-0.0008539356823651663,0.2,0.0016131358,0.0003,-0.20648982049897313,0.0029347136850143823,-0.0021466142497956753,0.5433569550514221,0.013881429036458334,,,
4278,3342336,0.8862143158912659,68,26.3,781,670,-0.0013835458663076375,0.2,0.0023677882,0.0003,-0.21257507676103463,0.002875566962575249,-0.004170516971498728,0.5534355044364929,0.019740804036458334,,,
4279,3391488,0.8823928833007812,69,27.41,792,680,-0.0005855395626288858,0.2,0.0017123725,0.0003,-0.21183939709638555,0.0028918357473836902,0.0022658444941043854,0.5343955755233765,0.0113037109375,,,
4280,3440640,0.8898214101791382,70,28.07,803,690,-0.0010183460433230115,0.2,0.0018460825,0.0003,-0.21167211194212238,0.002990397299193622,-0.00044461048673838377,0.5385177135467529,0.013338216145833333,,,
4281,3489792,0.9059642553329468,71,26.33,815,700,-0.001005002795712547,0.2,0.0023198298,0.0003,-0.2091593764256686,0.003190752254219357,0.0006885189795866609,0.5251592397689819,0.018031819661458334,,,
4282,3538944,0.8835713267326355,72,27.06,826,710,-0.0010105211175262714,0.2,0.0021403194,0.0003,-0.20636628655871997,0.002802037377356707,-0.0005442481487989426,0.5510377287864685,0.01566162109375,,,
4281,3588096,0.8716784715652466,73,27.63,838,720,-0.0017296813582409717,0.2,0.0026842298,0.0003,-0.22375688589333245,0.0026413224600522274,-0.0005709680262953043,0.5496693253517151,0.019254557291666665,,,
4279,3637248,0.8853928446769714,74,26.75,849,730,-0.0016472241284949025,0.2,0.0026145978,0.0003,-0.23230550292258462,0.0028024619654388517,0.0008058565435931087,0.5574415326118469,0.020463053385416666,,,
4277,3686400,0.8633928894996643,75,27.16,861,740,-0.0015453146535946872,0.2,0.005391512,0.0003,-0.2312395481315131,0.0025224952779050605,0.0046146647073328495,0.5801328420639038,0.018646240234375,,,
4276,3735552,0.8735713362693787,76,27.41,873,750,-0.00139356634848203,0.2,0.0024839647,0.0003,-0.22723960684767613,0.003096730344441312,-0.0010499130003154278,0.5353533625602722,0.020937093098958335,,,
4276,3784704,0.8922857046127319,77,27.42,885,760,-0.0017012978489219677,0.2,0.0017647346,0.0003,-0.23234624043883134,0.002953312487807125,-0.002337569836527109,0.5425530672073364,0.022607421875,,,
4276,3833856,0.9022500514984131,78,27.37,896,770,-0.001161183813231522,0.2,0.0026707768,0.0003,-0.2266380256662766,0.002512307802438348,-0.006361277773976326,0.5782821178436279,0.015348307291666667,,,
4276,3883008,0.8857500553131104,79,26.43,908,780,-0.0018815958735406942,0.2,0.0034584068,0.0003,-0.2432539186362798,0.002589324968357687,0.0016556098125874996,0.5642248392105103,0.025516764322916666,,,
4274,3932160,0.8885713815689087,80,28.42,919,790,-0.00179117939248196,0.2,0.003129983,0.0003,-0.24802258729469032,0.003448894789289625,-0.0051934788934886456,0.48933130502700806,0.026190185546875,,,
4272,3981312,0.9059999585151672,81,26.32,931,800,-0.0014282918002209044,0.2,0.032691557,0.0003,-0.22657599021525432,0.0024347059365633565,0.0029662721790373325,0.5850794315338135,0.023191324869791665,,,
4261,4030464,0.8930713534355164,82,27.18,945,810,-0.000701610399907319,0.2,0.0019908526,0.0003,-0.21970541265327484,0.003097140321006009,-0.0010928181000053883,0.5294457674026489,0.015234375,4000008,0.8,3
