time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
4959,1140.59,1032192,21,208,0.0,-0.010460932614478224,9.90827978123813e-07,0.2,0.1400634765625,0.013945377,-2.3130221366882324,200,0.0003,-1.639044528454542,-0.004445526748895645
4953,1202.73,1081344,22,218,0.0,-0.008822380560013698,5.82280259912397e-07,0.2,0.10572509765625,0.011568668,-4.258371829986572,210,0.0003,-1.6078465908144912,-0.012330700643360615
4945,1270.77,1130496,23,228,0.0,-0.013338467836547352,8.962545979448085e-07,0.2,0.13474324544270833,0.014113162,-6.0525288581848145,220,0.0003,-1.5996611744786302,-0.0191821102052927
4940,1328.62,1179648,24,238,0.0,-0.010926339916295547,6.694506449633763e-07,0.2,0.11770833333333333,0.013001531,-4.799516201019287,230,0.0003,-1.583838344613711,-0.023031486198306084
4935,1395.22,1228800,25,248,0.012301499955356121,-0.011612735198589992,8.887589400282299e-07,0.2,0.13339436848958333,0.013423669,-0.21596217155456543,240,0.0003,-1.5780901949231823,-0.006772463209927082
4928,1452.29,1277952,26,259,0.012301499955356121,-0.006495234736636727,4.269966125628836e-05,0.2,0.13869832356770834,0.013111574,0.12674760818481445,250,0.0003,-1.5641250119855006,-0.014943649061024189
4924,1589.31,1327104,27,269,0.012301499955356121,-0.009510332871529196,2.0003157654713277e-06,0.2,0.150970458984375,0.01594777,-1.2948203086853027,260,0.0003,-1.5472277524570623,-0.014741488732397556
4920,1566.55,1376256,28,279,0.0022239999379962683,-0.01133014456378684,1.2083845294756184e-06,0.2,0.151824951171875,0.016326232,-1.022965431213379,270,0.0003,-1.5386104424173632,-0.013387572020292282
4914,1585.73,1425408,29,290,0.0022239999379962683,-0.007963848628029761,9.317665068486747e-06,0.2,0.14370524088541667,0.01302959,0.43363112211227417,280,0.0003,-1.5457634580011168,0.0079930629581213
4909,1575.48,1474560,30,300,0.0022239999379962683,-0.012241407944202365,7.368694753632591e-07,0.2,0.16141560872395833,0.01745624,-0.8938493728637695,290,0.0003,-1.5512774243329963,0.005830660462379456
4905,1660.21,1523712,31,310,0.0,-0.011201582237117692,7.45064194148289e-07,0.2,0.15849405924479168,0.015454061,-2.6582891941070557,300,0.0003,-1.5484637148678302,-0.022298671305179596
4902,1734.24,1572864,32,320,0.0035379999317228794,-0.011992843755797367,6.314947815037423e-07,0.2,0.158709716796875,0.017215034,-1.814467191696167,310,0.0003,-1.5290339524547258,-0.014240722171962261
4899,1792.56,1622016,33,331,0.0035379999317228794,-0.0066056405903509585,1.9349439868365792e-05,0.2,0.13531901041666666,0.014608937,0.29145413637161255,320,0.0003,-1.5138117281720043,0.018595796078443527
4894,1883.82,1671168,34,341,0.0035379999317228794,-0.0088307735185784,9.111533613529824e-07,0.2,0.18800455729166668,0.019236365,0.09805905818939209,330,0.0003,-1.5000898734976849,0.0010074039455503225
4887,1879.13,1720320,35,352,0.0035379999317228794,-0.010257592490233947,4.459576087227172e-07,0.2,0.14041951497395833,0.017088303,-0.5135085582733154,340,0.0003,-1.4890775756289563,-0.016378313302993774
4881,1835.16,1769472,36,362,0.0,-0.00032935499475570393,8.227229616464271e-07,0.2,0.1260009765625,0.018179268,0.63070148229599,350,0.0003,-1.4862251677860816,-0.02650638483464718
4878,1835.03,1818624,37,372,0.0,-0.011233225257607652,3.2652710779309165e-07,0.2,0.12236328125,0.014325808,-1.7064259052276611,360,0.0003,-1.4620199813817938,-0.03736672177910805
4875,1786.24,1867776,38,383,0.0,-0.010725963477125334,3.096804802519652e-07,0.2,0.11604410807291667,0.0127652595,-3.4693751335144043,370,0.0003,-1.39289123856773,-0.019297361373901367
4872,1874.82,1916928,39,393,0.0,-0.010439386997798767,5.790005705922733e-07,0.2,0.13786824544270834,0.014163827,-1.785322666168213,380,0.0003,-1.3769637649257978,-0.011808068491518497
4869,1913.96,1966080,40,403,0.0,-0.01358099758059931,5.398361425582958e-07,0.2,0.13706461588541666,0.014679756,-2.238539695739746,390,0.0003,-1.3816147348533074,-0.02379983849823475
4868,1923.8,2015232,41,413,0.0,-0.010233279013179223,3.429270039341977e-07,0.2,0.14903767903645834,0.02053471,-2.878875494003296,400,0.0003,-1.393384949117899,-0.012991129420697689
4865,1978.3,2064384,42,424,0.0,-0.012103280144765449,4.907277451578669e-07,0.2,0.165826416015625,0.019098388,-1.619894027709961,410,0.0003,-1.3703761032472055,-0.016671275720000267
4864,1978.3,2113536,43,434,0.0,-0.012114775012923929,3.2018140557754646e-07,0.2,0.18035685221354167,0.02135522,-1.2863402366638184,420,0.0003,-1.4132516490916411,-0.002268177457153797
4862,1963.25,2162688,44,444,0.0,-0.010562406424620955,4.0644852256447687e-07,0.2,0.16875203450520834,0.016971657,-1.6001908779144287,430,0.0003,-1.4217902887612581,-0.005627911072224379
4861,1913.67,2211840,45,454,0.0,-0.010370561832496605,3.2046356695699293e-07,0.2,0.14975789388020833,0.017601306,-2.751760959625244,440,0.0003,-1.4153622789308429,-0.0092399250715971
4860,1894.87,2260992,46,465,0.0,-0.011248920492713902,3.698468122019053e-07,0.2,0.15944010416666668,0.017521149,-5.120151996612549,450,0.0003,-1.4264851766328017,-0.016172518953680992
4860,1892.41,2310144,47,475,0.0,-0.01153415806305323,2.8104981599404627e-07,0.2,0.15533447265625,0.019631805,-3.7137393951416016,460,0.0003,-1.4482072334115703,-0.00634746951982379
4859,1835.88,2359296,48,485,0.0,-0.01210035312336307,2.6721547126869655e-07,0.2,0.1755126953125,0.020176841,-3.352515697479248,470,0.0003,-1.4494580182557304,0.1725759208202362
4858,1849.66,2408448,49,495,0.0,-0.011263414633625264,3.0507145638939783e-07,0.2,0.15479736328125,0.017017031,-3.498551845550537,480,0.0003,-1.4481485278035204,-0.028954535722732544
4858,1809.61,2457600,50,505,0.0,-0.0098434638243513,2.9031189952381334e-07,0.2,0.13788859049479166,0.017315855,-3.648202419281006,490,0.0003,-1.4307851685211062,-0.03607945144176483
4858,1820.69,2506752,51,515,0.0,-0.010690545677061892,2.603242488463664e-07,0.2,0.14119873046875,0.016939273,-3.2883009910583496,500,0.0003,-1.4148512798051038,0.002017490565776825
4859,1882.75,2555904,52,525,0.0,-0.011076663544372423,1.546035129917911e-07,0.2,0.18292643229166666,0.02314575,-2.762470245361328,510,0.0003,-1.389049186743796,-0.026379765942692757
4859,1848.4,2605056,53,536,0.0,-0.009465629561297343,2.3118476029463746e-07,0.2,0.18882242838541666,0.024755532,-3.486819267272949,520,0.0003,-1.356008514513572,-0.025931356474757195
4859,1885.61,2654208,54,546,0.0,-0.01221298318814661,2.1565882107517828e-07,0.2,0.14760538736979167,0.017391121,-3.4176177978515625,530,0.0003,-1.3696551233530045,-0.01704510673880577
4859,1665.15,2703360,55,556,0.0,-0.012779587806168518,1.7980228701105123e-07,0.2,0.14854939778645834,0.015398155,-1.5530776977539062,540,0.0003,-1.3996145988504092,-0.02457287721335888
4859,1668.85,2752512,56,566,0.0,-0.010418777151365551,1.3988285971951637e-07,0.2,0.15163981119791667,0.018795198,-2.4233479499816895,550,0.0003,-1.4110005926340818,-0.03769242390990257
4859,1660.13,2801664,57,576,0.0,-0.01105977355870588,1.1135453767407988e-07,0.2,0.15713907877604166,0.019799566,-2.6506030559539795,560,0.0003,-1.3901727960134547,-0.016105104237794876
4860,1709.23,2850816,58,586,0.0,-0.011690438988686462,1.035200586307905e-07,0.2,0.17366536458333334,0.022164399,-3.474057197570801,570,0.0003,-1.3638286623482903,-0.020366160199046135
4860,1843.73,2899968,59,596,0.0,-0.009014294165293297,6.57247002387266e-08,0.2,0.14929402669270833,0.017310595,-3.075709342956543,580,0.0003,-1.349388944543898,-0.020728424191474915
