time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
26624,13,470,0.0,56,5.12,-7.745104789733887,3.2904760828245114e-05,-0.010460225572751369,0.156787109375,0.0003,-1.7568216156214476,0.2,120,0.0118365,-0.03186545893549919
28672,14,469,0.0,61,6.02,-11.425971984863281,2.2946772222809386e-05,-0.008197121875127777,0.180517578125,0.0003,-1.7517122957855462,0.2,130,0.019491788,-0.025010790675878525
30720,15,469,0.0,65,8.06,-39.1920166015625,4.853922915657449e-05,-0.011371674103429541,0.15947265625,0.0003,-1.724539466947317,0.2,140,0.029380813,-0.04217059910297394
32768,16,468,0.0,69,14.35,-7.734655380249023,2.3314491642167923e-05,-0.015654801522032358,0.332666015625,0.0003,-1.7641917578876019,0.2,150,0.019210214,-0.04987321048974991
34816,17,468,0.0,74,15.35,-4.825117111206055,6.355949642085079e-05,-0.01938608141426812,0.133251953125,0.0003,-1.770112446323037,0.2,160,0.01676021,0.0081728370860219
36864,18,468,0.0,78,24.3,-5.1590070724487305,1.7748524711436176e-05,-0.02034107674990082,0.21005859375,0.0003,-1.7774664226919412,0.2,170,0.024938133,-0.02095223031938076
38912,19,468,0.0,82,34.44,-10.074216842651367,4.8453082882105034e-05,-0.013862636200792621,0.11845703125,0.0003,-1.773680577427149,0.2,180,0.011773688,-0.05071248859167099
40960,20,469,0.0,87,31.7,-26.433866500854492,1.408683797947674e-05,-0.01137521384516731,0.129345703125,0.0003,-1.7697755798697472,0.2,190,0.019271605,-0.002320107538253069
43008,21,465,0.0,92,36.43,-13.251871109008789,1.1212709785723974e-05,-0.010656516315066256,0.14794921875,0.0003,-1.7782802145928145,0.2,200,0.016268644,-0.002946687862277031
45056,22,464,0.0,97,48.47,-6.745288372039795,4.834742866819397e-05,-0.01379733975045383,0.134912109375,0.0003,-1.742763687297702,0.2,210,0.016411792,-0.030405249446630478
47104,23,462,0.0,101,64.71,-4.363980293273926,9.096100018837205e-05,-0.010290101652935845,0.131591796875,0.0003,-1.6782989151775838,0.2,220,0.013113059,0.01507055014371872
49152,24,460,0.0,106,70.23,-3.409776210784912,3.0185271458549324e-05,-0.013845093506097328,0.193798828125,0.0003,-1.6654497731477023,0.2,230,0.017821383,-0.02071860432624817
51200,25,460,0.0,111,74.85,-6.833488941192627,3.1354585455289905e-05,-0.01723913355526747,0.146435546875,0.0003,-1.6496810622513294,0.2,240,0.013698839,-0.044215403497219086
53248,26,460,0.0015625,115,85.3,-1.2236106395721436,1.978172195578054e-05,-0.01038959814904956,0.095556640625,0.0003,-1.6367582309991122,0.2,250,0.010207923,-0.011556757614016533
55296,27,461,0.0015625,119,80.15,-0.9506351947784424,0.00016188504545198157,-0.014457738359487849,0.22490234375,0.0003,-1.5785567216575145,0.2,260,0.03569541,-0.03315965086221695
57344,28,456,0.0015625,125,84.95,-2.3704710006713867,2.204857065635224e-05,-0.010222050752781797,0.137353515625,0.0003,-1.6548208590596913,0.2,270,0.02295189,-0.03516954556107521
59392,29,455,0.0015625,130,90.18,-2.7772321701049805,1.1338298401852853e-05,-0.010856113889167318,0.21708984375,0.0003,-1.5788758769631386,0.2,280,0.021588266,0.0017879008082672954
61440,30,455,0.0,134,86.72,-5.929795265197754,4.747725059388586e-05,-0.009943242113513407,0.16533203125,0.0003,-1.4820425346493722,0.2,290,0.017633233,-0.011599281802773476
63488,31,456,0.0,139,99.45,-0.3361940383911133,1.1482578025123757e-05,-0.013217225155676715,0.1333984375,0.0003,-1.4070647772401572,0.2,300,0.016028075,-0.05027208477258682
65536,32,456,0.0,143,106.63,-2.2644879817962646,3.9181024045831234e-05,-0.011500757408794016,0.104052734375,0.0003,-1.383581818640232,0.2,310,0.0120137315,-0.05223599076271057
67584,33,457,0.0,147,115.32,-2.1234898567199707,3.5187067001629654e-05,-0.008728766760032158,0.09755859375,0.0003,-1.3528482422232628,0.2,320,0.008490929,-0.0034652166068553925
69632,34,457,0.0,152,121.91,-1.7187097072601318,2.5753385888549473e-05,-0.011688452733505984,0.1150390625,0.0003,-1.2933513943105936,0.2,330,0.016564883,-0.04031122848391533
71680,35,457,0.0,156,130.12,-4.342592239379883,1.77210646796766e-05,-0.011760840540227946,0.118505859375,0.0003,-1.2470713898539543,0.2,340,0.009525215,-0.005684575065970421
73728,36,458,0.0,160,133.2,-1.2458844184875488,0.00026840837498198766,-0.004351335643150378,0.118505859375,0.0003,-1.1877182494848966,0.2,350,0.01254692,-0.022464146837592125
75776,37,458,0.0,165,150.9,-1.2015624046325684,1.9830071684623364e-05,-0.01046584767755121,0.10751953125,0.0003,-1.144548273831606,0.2,360,0.01359814,0.016293689608573914
77824,38,458,0.0,169,153.5,-1.2471449375152588,2.4120642216729492e-05,-0.01991357128645177,0.081396484375,0.0003,-1.0747240342199802,0.2,370,0.0073868074,-0.027878306806087494
79872,39,458,0.0,174,157.11,-4.1443376541137695,3.0791193158563604e-05,-0.020534128382860218,0.1103515625,0.0003,-1.026802685111761,0.2,380,0.007414202,-0.04048299789428711
81920,40,459,0.0,178,161.83,-1.5742583274841309,0.00015785075527219306,-0.008413287781149848,0.072607421875,0.0003,-1.1002529572695494,0.2,390,0.012186227,-0.04617312550544739
