time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
4186,688128,0.7148906588554382,14,19.56,164,130,-0.0017495234134306278,0.2,0.006691348,0.0003,-1.1302778445805113,0.015871664679434617,0.00805702619254589,0.30819451808929443,0.067767333984375,,,
4176,737280,0.7943984866142273,15,19.44,176,140,-0.0026885717452993655,0.2,0.0065944777,0.0003,-1.0860657231882214,0.016086238481511826,-0.0036405082792043686,0.3023635149002075,0.07679850260416667,,,
4166,786432,0.7394610643386841,16,18.0,188,150,-0.0021216170739232136,0.2,0.009066738,0.0003,-1.072720638041695,0.015605228940209296,-0.0017327172681689262,0.30355727672576904,0.07260335286458333,,,
4158,835584,0.8040820360183716,17,19.07,200,160,-0.0014240147575643883,0.2,0.005665447,0.0003,-1.0465549062627058,0.016930134377859455,0.014237679541110992,0.2841201424598694,0.05218912760416667,,,
4151,884736,0.7752421498298645,18,19.14,213,170,-0.0014605477113339778,0.2,0.0061012045,0.0003,-1.0246821230277419,0.016894883334559078,0.015915725380182266,0.2861841917037964,0.06128133138020833,,,
4145,933888,0.7427304983139038,19,17.09,225,180,-0.001934090183688871,0.2,0.00735721,0.0003,-0.9935433582402766,0.013820093429967529,-0.002075543161481619,0.29747921228408813,0.06516520182291667,,,
4098,983040,0.7284061908721924,20,18.16,239,190,-0.001247677049680836,0.2,0.006165805,0.0003,-0.96591753034542,0.016619254142642603,0.005401246249675751,0.2871970534324646,0.05309651692708333,,,
4057,1032192,0.796191394329071,21,18.53,254,200,-0.0013720643020254406,0.2,0.0054529235,0.0003,-0.9302876548531155,0.016281245909825277,0.011845610104501247,0.2840306758880615,0.05747273763020833,1000008,0.2,0
4055,1081344,0.7671054601669312,22,18.41,266,210,-0.0009960517614066096,0.2,0.0064034946,0.0003,-0.9456015546185275,0.016264684887452554,0.0004123491235077381,0.29141443967819214,0.04786376953125,,,
4053,1130496,0.8059804439544678,23,18.81,278,220,-0.0013225079359472148,0.2,0.005865047,0.0003,-0.9336919089468817,0.0178922609690441,0.009592157788574696,0.2873724699020386,0.04972127278645833,,,
