time/fps,time/total_timesteps,time/iterations,shield/stage,rollout/ep_rew_mean,shield/transition_timestep,time/time_elapsed,shield/delta,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss
4104,589824,12,,0.46930554509162903,,143,,47.98,0.01674743753586275,0.009896802,0.004904434084892273,0.12586873372395832,110,0.2,0.6456438302993774,-0.007661691938907703,0.0003,-1.2084447729711731
4087,638976,13,,0.5522500276565552,,156,,46.44,0.020197625103658842,0.008664875,-0.008630268275737762,0.114703369140625,120,0.2,0.586901068687439,-0.008597563264326405,0.0003,-1.1579750134299198
4074,688128,14,,0.48563891649246216,,168,,41.25,0.01961745749091885,0.007925715,0.0008541494607925415,0.10838419596354167,130,0.2,0.5675512552261353,-0.007132402255532118,0.0003,-1.0471944491378964
4060,737280,15,,0.5676110982894897,,181,,44.95,0.019852314652719846,0.006434379,0.0008079120889306068,0.08538004557291666,140,0.2,0.5461246967315674,-0.0061834086334783935,0.0003,-0.9640167395894726
4049,786432,16,,0.6655277013778687,,194,,45.8,0.018170578402350656,0.006143021,0.00410945899784565,0.085504150390625,150,0.2,0.5529910326004028,-0.00552436503306429,0.0003,-0.8696878268693884
4038,835584,17,4,0.7311944365501404,827088,206,0.1,45.77,0.018349420450491986,0.00525595,0.004371221177279949,0.06695149739583334,160,0.2,0.5366947650909424,-0.004169508502673125,0.0003,-0.7969055614434183
4030,884736,18,,0.6852222681045532,,219,,44.77,0.015621195020503364,0.0046661417,0.009116009809076786,0.06325887044270834,170,0.2,0.5557795763015747,-0.003569624771383436,0.0003,-0.7219078289034466
4021,933888,19,,0.7041666507720947,,232,,41.44,0.015032585511895983,0.0045547816,0.0011522024869918823,0.05932820638020833,180,0.2,0.5282189846038818,-0.003433710326983904,0.0003,-0.6780407066456974
3973,983040,20,,0.7196944355964661,,247,,42.72,0.014827995899152787,0.0039413176,0.014129659160971642,0.049031575520833336,190,0.2,0.5174000263214111,-0.0025719508353783263,0.0003,-0.6110811262081067
3930,1032192,21,,0.7071666717529297,,262,,44.84,0.013435602796137876,0.0034907255,0.00010100984945893288,0.048870849609375,200,0.2,0.5367083549499512,-0.0026761350852514926,0.0003,-0.5803460246572892
3926,1081344,22,,0.7061388492584229,,275,,40.68,0.01420696229324676,0.0043662935,0.006957467645406723,0.044049072265625,210,0.2,0.5271530151367188,-0.0021260261795760017,0.0003,-0.5105495040304959
3921,1130496,23,,0.7008054852485657,,288,,43.46,0.013435365462646587,0.0030179478,0.0030405051074922085,0.038983154296875,220,0.2,0.5301151275634766,-0.0015201893966150237,0.0003,-0.4797424568173786
3917,1179648,24,,0.7338055968284607,,301,,41.13,0.0133095436457855,0.0030492593,0.005776260048151016,0.03604939778645833,230,0.2,0.5063419342041016,-0.0014496005772343778,0.0003,-0.42854178325893977
3914,1228800,25,,0.7765277028083801,,313,,42.1,0.013454485957481666,0.0032944207,0.007338781841099262,0.03799845377604167,240,0.2,0.5112633109092712,-0.001967555165720114,0.0003,-0.39629781926050783
3910,1277952,26,,0.8054999709129333,,326,,42.51,0.013116775762318867,0.0032082547,-0.0004101414233446121,0.03207600911458333,250,0.2,0.5030163526535034,-0.0015533544716163305,0.0003,-0.37311091730371115
3912,1327104,27,,0.7811111211776733,,339,,40.53,0.013498755804175745,0.0029804439,0.007950629107654095,0.030643717447916666,260,0.2,0.49432194232940674,-0.0011912301711466474,0.0003,-0.35791487831932806
3914,1376256,28,,0.7458334565162659,,351,,39.89,0.012555695107585052,0.0028676584,0.004393293987959623,0.03157755533854167,270,0.2,0.522081196308136,-0.0019496429176191063,0.0003,-0.3373032108725359
3917,1425408,29,,0.7190834283828735,,363,,38.6,0.013843051606090739,0.0025803465,0.004345138557255268,0.030086263020833334,280,0.2,0.4887336492538452,-0.0011969977227333098,0.0003,-0.31474332126478355
3920,1474560,30,,0.7448055744171143,,376,,40.94,0.012206058389225897,0.002236048,0.010564763098955154,0.027516682942708332,290,0.2,0.5096068978309631,-0.0011992210576863727,0.0003,-0.2893215033070495
3922,1523712,31,,0.8026667833328247,,388,,39.93,0.012413427081871002,0.002303189,-0.0034262915141880512,0.025634765625,300,0.2,0.5106281042098999,-0.0015227587792954486,0.0003,-0.27930429628274095
3924,1572864,32,,0.7586389183998108,,400,,39.15,0.013333258278241071,0.0031676765,0.0037962766364216805,0.025541178385416665,310,0.2,0.4899667501449585,-0.0015315016917156754,0.0003,-0.2736555144113178
3926,1622016,33,,0.7645000219345093,,413,,39.62,0.013735698372329352,0.002353346,0.0014961045235395432,0.027130126953125,320,0.2,0.49100375175476074,-0.001289862216496355,0.0003,-0.2627503176763033
3926,1671168,34,,0.8187500238418579,,425,,41.25,0.011832234283550255,0.0021140638,0.005673606414347887,0.022479248046875,330,0.2,0.5139592885971069,-0.0012178006196336354,0.0003,-0.24322513987620673
3928,1720320,35,,0.723694384098053,,437,,36.93,0.011225440796260954,0.0020702642,0.004155535716563463,0.022432454427083335,340,0.2,0.5144208669662476,-0.0012392068004070703,0.0003,-0.22652856823212156
3929,1769472,36,,0.7873889207839966,,450,,39.22,0.01309415710347821,0.004120027,0.005705669987946749,0.024713134765625,350,0.2,0.4940341114997864,-0.0013817103278900807,0.0003,-0.2193210211272041
3930,1818624,37,,0.7793889045715332,,462,,38.58,0.012816016651534786,0.002535468,0.0023598922416567802,0.023813883463541668,360,0.2,0.49435311555862427,-0.0010852018619213293,0.0003,-0.21472309436649084
3931,1867776,38,,0.7845278382301331,,475,,40.0,0.012567648783442565,0.00258456,0.00444627134129405,0.020989990234375,370,0.2,0.49621182680130005,-0.0008977037098399402,0.0003,-0.21223830505429456
3931,1916928,39,,0.7530832886695862,,487,,40.7,0.012746020840859273,0.0035189837,-0.003829191904515028,0.021685791015625,380,0.2,0.48268455266952515,-0.001251855068282263,0.0003,-0.19695300999252746
3931,1966080,40,,0.6877777576446533,,500,,36.77,0.0136735459859968,0.0028847074,0.0052507235668599606,0.022861735026041666,390,0.2,0.4757412075996399,-0.001292490374908084,0.0003,-0.20035577022936196
3909,2015232,41,,0.7639999985694885,,515,,36.24,0.013034287385138062,0.0023301418,0.004135606810450554,0.020992024739583334,400,0.2,0.4841981530189514,-0.0015960049141237201,0.0003,-0.1911580856811876
3909,2064384,42,,0.7170554995536804,,528,,35.93,0.012142391794865641,0.002239263,0.006870942190289497,0.01943359375,410,0.2,0.4958716034889221,-0.0012454010003542257,0.0003,-0.18410569680078576
3910,2113536,43,,0.7444999814033508,,540,,36.83,0.013745350215807169,0.002745961,0.008931135758757591,0.023358154296875,420,0.2,0.4985802173614502,-0.0009696475578797011,0.0003,-0.1912007081399982
3910,2162688,44,,0.754611074924469,,553,,36.26,0.012082856415266482,0.0023208468,0.005879595875740051,0.021087646484375,430,0.2,0.5357572436332703,-0.0014725884478442215,0.0003,-0.1859597169794142
