time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,shield/actions_blocked,shield/actions_block_ignored,rollout/ep_len_mean,shield/actions_allowed,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,shield_cutoff_timestep
11,0.8665714859962463,4708,114,540672,46763,0,34.58,278144,0.005618852685923533,-0.009235898964107037,-1.0626796128849187,0.2,0.6364954710006714,0.16706949869791668,100,-0.012034709273029876,0.0003,0.012559374,
12,0.865642786026001,4677,126,589824,52721,0,32.5,315110,0.004685127262443227,-0.0003010581713169813,-0.924253646718959,0.2,0.5965270400047302,0.12095743815104167,110,-0.008357711486678455,0.0003,0.008069139,
13,0.8794642686843872,4645,137,638976,58642,0,30.97,353299,0.003982968578444949,-0.0257671270519495,-0.8323364882729948,0.2,0.5735474824905396,0.10509236653645833,120,-0.005877014490882478,0.0003,0.007306781,
14,0.8815715312957764,4614,149,688128,65106,0,30.4,391882,0.0034624685534557407,-0.007516385987401009,-0.7506314524449408,0.2,0.5929116010665894,0.07962239583333333,130,-0.004703415942822175,0.0003,0.0053627626,
15,0.8761070966720581,4581,160,737280,71412,0,29.14,431344,0.002989584960293238,-0.009863777086138725,-0.6837450205037992,0.2,0.5914639234542847,0.06761271158854167,140,-0.004468513852831772,0.0003,0.0048314338,
16,0.8897143602371216,4551,172,786432,77415,0,28.16,471897,0.003205271466625466,-0.00041122804395854473,-0.6186382497660816,0.2,0.5712013244628906,0.06235148111979167,150,-0.0036694397051784716,0.0003,0.0048128995,
17,0.8819286227226257,4526,184,835584,83660,0,27.51,512629,0.0026773543884701214,0.0010621441761031747,-0.5649195927195251,0.2,0.6030851602554321,0.058492024739583336,160,-0.003352937142456843,0.0003,0.0050893077,
18,0.8892500400543213,4502,196,884736,89535,0,28.43,554133,0.003154942403974322,-0.0017952099442481995,-0.5082636632490903,0.2,0.5441624522209167,0.05380655924479167,170,-0.0032158720344038255,0.0003,0.0055338144,
19,0.8768571615219116,4481,208,933888,95079,0,29.4,596351,0.002911949278677639,-0.0017600050196051598,-0.45528568484199544,0.2,0.5618051290512085,0.0495849609375,180,-0.0027236020629061385,0.0003,0.0051261582,
20,0.8815356492996216,4462,220,983040,100379,0,28.16,639096,0.003271356822612385,-0.012689386494457722,-0.42111148913390933,0.2,0.529381513595581,0.033612060546875,190,-0.001712930061815617,0.0003,0.0027982667,
21,0.8918214440345764,4444,232,1032192,105807,0,27.53,681873,0.002798006665580033,-0.0006301002576947212,-0.39484970597550273,0.2,0.5623399615287781,0.03302205403645833,200,-0.0020367352553572952,0.0003,0.003051819,
22,0.858035683631897,4433,243,1081344,111310,0,26.13,724765,0.0024732074311638523,0.0023174998350441456,-0.36909005348570645,0.2,0.6014806032180786,0.028157552083333332,210,-0.0014412891471693,0.0003,0.0028980281,
23,0.8820000290870667,4422,255,1130496,116375,0,27.52,768038,0.0031142275304470485,-0.0041503338143229485,-0.3630113972350955,0.2,0.5213974714279175,0.030354817708333332,220,-0.001616027858229548,0.0003,0.0034741694,
24,0.8895357251167297,4413,267,1179648,120991,0,28.17,811904,0.003311707298720042,0.0012424818705767393,-0.33729708921164275,0.2,0.5048224925994873,0.04146525065104167,230,-0.002239479749914608,0.0003,0.005955626,
25,0.9045356512069702,4404,278,1228800,125352,0,26.73,856097,0.0027422454161448212,0.001230682828463614,-0.3105995236740758,0.2,0.5614705681800842,0.021254475911458334,240,-0.0010635472066496733,0.0003,0.005310241,
26,0.884321391582489,4395,290,1277952,129421,0,27.12,900661,0.002401230050054437,-0.0009747789008542895,-0.2801832001190633,0.2,0.5839365124702454,0.022928873697916668,250,-0.0008992575403074927,0.0003,0.0021812136,
27,0.8873928785324097,4386,302,1327104,133268,0,25.99,945495,0.00327939139612378,0.005138584412634373,-0.2684355640395855,0.2,0.508353590965271,0.017822265625,260,-0.0008021051839326294,0.0003,0.0017241946,
28,0.8714642524719238,4381,314,1376256,137173,0,27.72,990374,0.0026143559286841383,-0.004457259085029364,-0.26357861983124165,0.2,0.571176290512085,0.021577962239583335,270,-0.0011569830387694916,0.0003,0.0026001993,
