time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/n_updates
32768,16,500,31.91,0.0,65,0.2,0.176708984375,0.0003,-0.01826021765882615,0.015558474,-1.7051308095455169,0.01425838191062212,-5.291793346405029,4.7409962743927284e-05,150
34816,17,498,43.68,0.0024285699999999997,69,0.2,0.1779296875,0.0003,-0.017667311259720007,0.022166878,-1.7052285507321359,-0.01261270884424448,-3.7859206199645996,2.6956118148291353e-05,160
36864,18,498,60.78,0.00660714,74,0.2,0.1046875,0.0003,-0.0080444624498341,0.008798679,-1.6818063277751207,-0.022460555657744408,-0.09077143669128418,0.00025739488944509503,170
38912,19,496,73.18,0.01517857,78,0.2,0.12939453125,0.0003,-0.011914965081086849,0.015413629,-1.7141230210661889,-0.030342284590005875,0.22137463092803955,0.0008561314499502259,180
40960,20,496,85.24,0.026464289999999998,82,0.2,0.154248046875,0.0003,-0.007516495006711921,0.012142923,-1.6562943454831838,-0.019204486161470413,0.10931921005249023,0.0031301398676987446,190
43008,21,495,93.47,0.026464289999999998,86,0.2,0.14716796875,0.0003,-0.00913243647373747,0.011305574,-1.6758600514382125,-0.02478002943098545,-0.03918862342834473,0.003047368183888466,200
45056,22,495,100.52,0.0302143,91,0.2,0.124365234375,0.0003,-0.014708332464215346,0.014392324,-1.6707008983939886,-0.03463101387023926,-1.4493560791015625,0.00024867758020263864,210
47104,23,494,102.23,0.03685716,95,0.2,0.19052734375,0.0003,-0.014085137221991317,0.0139865,-1.658666219189763,-0.015909181907773018,0.10597723722457886,0.0016939329304932471,220
49152,24,494,111.72,0.04535715,99,0.2,0.210546875,0.0003,-0.015554119614535011,0.017638983,-1.6400742020457983,0.010287217795848846,0.13771623373031616,0.001753393974854589,230
51200,25,494,122.5,0.07364286999999999,103,0.2,0.1984375,0.0003,-0.012681209890070022,0.01550642,-1.6301640048623085,-0.0354309044778347,0.065268874168396,0.003539819376237574,240
53248,26,493,125.96,0.11753572000000002,107,0.2,0.171728515625,0.0003,-0.010788092180155218,0.015856924,-1.6010354410856962,0.002347922418266535,0.1399356722831726,0.0065477435471620994,250
55296,27,493,121.97,0.18178574,112,0.2,0.19814453125,0.0003,-0.015774177870480344,0.015891265,-1.5686816655099391,-0.034095924347639084,0.25775182247161865,0.009142065635387553,260
57344,28,493,114.82,0.26939287000000006,116,0.2,0.179443359375,0.0003,-0.012939237534010318,0.0136642745,-1.506436612457037,-0.008974536322057247,0.29397910833358765,0.01072379707766231,270
59392,29,492,100.83,0.35267861000000006,120,0.2,0.192724609375,0.0003,-0.015088983703753911,0.015661497,-1.4325255095958709,-0.01950356364250183,0.3469945192337036,0.012606162833981216,280
61440,30,492,80.02,0.45792862999999995,124,0.2,0.266015625,0.0003,-0.023206587688764557,0.017094655,-1.3587374117225408,0.02564879134297371,0.3432941436767578,0.011761838367965538,290
