time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
203,4838,983040,20,46.4,0.7491389513015747,0.003513118252158165,-0.6231103205432494,190,0.014353235614544246,0.0003,0.055145263671875,0.004201188,0.2,0.5347013473510742,-0.0033114866054650824
216,4774,1032192,21,43.08,0.7456665635108948,0.010694370605051517,-0.5733751434522371,200,0.01402715971780708,0.0003,0.05313313802083333,0.0038718302,0.2,0.5139700174331665,-0.003054007894024835
226,4774,1081344,22,43.2,0.7467221617698669,0.003031805157661438,-0.5290562597569078,210,0.013288220373700218,0.0003,0.050103759765625,0.004664167,0.2,0.5193590521812439,-0.0029453891009325163
236,4782,1130496,23,41.53,0.6763889193534851,0.00373510317876935,-0.4736296712886542,220,0.01280042059297557,0.0003,0.047261555989583336,0.00445972,0.2,0.5227339863777161,-0.0025071215493274695
246,4790,1179648,24,42.28,0.7371110320091248,0.004867831245064735,-0.4395979409882178,230,0.013009641688404372,0.0003,0.039178466796875,0.0033204595,0.2,0.5300501585006714,-0.001807999985430797
256,4797,1228800,25,42.41,0.7417499423027039,0.004181834869086742,-0.4282684910732011,240,0.012494747369540466,0.0003,0.04145100911458333,0.003362958,0.2,0.5217159986495972,-0.001719135851271858
266,4803,1277952,26,42.38,0.7419444918632507,0.003951880615204573,-0.41659139855764804,250,0.013535912352623806,0.0003,0.041092936197916666,0.003869769,0.2,0.5023324489593506,-0.0023773745513002115
275,4808,1327104,27,43.04,0.7574722766876221,-0.001127659808844328,-0.3996651634884377,260,0.01206621143016188,0.0003,0.03815104166666667,0.0033879355,0.2,0.5260908007621765,-0.0021181418732642973
286,4811,1376256,28,43.73,0.774638831615448,-0.0035404511727392673,-0.37797795122799777,270,0.012750128671905258,0.0003,0.03438924153645833,0.0030360445,0.2,0.5020561218261719,-0.0018380068024271168
296,4814,1425408,29,42.76,0.7485833764076233,-0.00048088841140270233,-0.36450258092954757,280,0.012462705993918159,0.0003,0.031941731770833336,0.002954337,0.2,0.5167168378829956,-0.0016019822119536305
306,4816,1474560,30,41.06,0.7515000104904175,0.007058524526655674,-0.3473407207988203,290,0.012613884005744088,0.0003,0.03365681966145833,0.0029349152,0.2,0.5126867294311523,-0.001945137573602551
316,4818,1523712,31,42.95,0.7374167442321777,0.0054576341062784195,-0.32272231024689974,300,0.012371245279549232,0.0003,0.03297119140625,0.004493967,0.2,0.5138099193572998,-0.0017717724738758988
326,4819,1572864,32,41.39,0.7709721922874451,0.00897165760397911,-0.31134032070791967,310,0.01225262298466987,0.0003,0.031146240234375,0.0027706635,0.2,0.5145688056945801,-0.0017029176831177514
336,4821,1622016,33,41.55,0.7235278487205505,0.006976271979510784,-0.2876921526466807,320,0.013430182702722959,0.0003,0.031003824869791665,0.003370701,0.2,0.5058834552764893,-0.001597210182838656
346,4824,1671168,34,40.53,0.7413887977600098,-0.0017249011434614658,-0.27896543716390926,330,0.01296930350678546,0.0003,0.029243977864583333,0.0035393566,0.2,0.498498797416687,-0.0018308197797523463
