time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/loss
86016,172,499,42,45.88,0.6137031900000001,0.604048490524292,-1.3387797463685274,0.22373046875,410,0.0003,0.01517657384974882,-0.023058506436063907,0.2,0.017688498,-0.03695592284202576
88064,176,499,43,35.22,0.59808208,0.4192885756492615,-1.2338221792131663,0.196923828125,420,0.0003,0.021692791709210724,-0.01756712206552038,0.2,0.017469674,-0.013254058547317982
90112,180,500,44,32.67,0.66495311,0.4476087689399719,-1.241841509565711,0.170361328125,430,0.0003,0.019757513073273003,-0.01593048304785043,0.2,0.01583212,-0.033974166959524155
92160,183,500,45,31.06,0.6519843800000001,0.4570769667625427,-1.1144346300512553,0.193896484375,440,0.0003,0.010491154025658034,-0.018780374458583538,0.2,0.016416974,-0.022682666778564453
94208,187,501,46,31.28,0.6535312300000001,0.314785361289978,-1.0902930213138462,0.186279296875,450,0.0003,0.023020057019311934,-0.008521419782482553,0.2,0.01841769,0.13415269553661346
96256,191,501,47,28.13,0.65082812,0.3369072675704956,-1.0544343886896967,0.15732421875,460,0.0003,0.02185120906215161,-0.01452799514954677,0.2,0.013629846,-0.023677080869674683
98304,195,501,48,31.67,0.6700703100000002,0.3620697855949402,-1.0688066842034458,0.15380859375,470,0.0003,0.026178570400224997,-0.011390196987485978,0.2,0.01741786,-0.009202677756547928
100352,199,501,49,31.99,0.7362539499999998,0.4056507349014282,-1.026233708485961,0.197900390625,480,0.0003,0.021276543484418653,-0.016163500826223753,0.2,0.015866477,-0.014761313796043396
102400,204,501,50,26.53,0.7269258199999998,0.5010956525802612,-1.0360535107553006,0.157861328125,490,0.0003,0.01814694575004978,-0.01581689941085642,0.2,0.017229712,-0.008680860511958599
104448,208,501,51,24.2,0.6744843999999999,0.3527730107307434,-0.9084012422710657,0.150830078125,500,0.0003,0.024946925922995432,-0.014208472955215257,0.2,0.016474603,-0.023710181936621666
106496,212,501,52,25.83,0.64705081,0.33528828620910645,-0.8511476829648018,0.140966796875,510,0.0003,0.028580874102772214,-0.010009154476574623,0.2,0.017154366,0.024095779284834862
108544,216,500,53,21.22,0.71186722,0.5362980365753174,-0.8423602210357786,0.170361328125,520,0.0003,0.022241644587484188,-0.019242638171999716,0.2,0.024949584,-0.00255529023706913
110592,220,500,54,23.41,0.69757811,0.31020277738571167,-0.7207103569060564,0.080126953125,530,0.0003,0.024037769783171826,-0.006201891679666005,0.2,0.008208996,-0.02701537497341633
112640,225,500,55,24.74,0.6541328300000001,0.4200258255004883,-0.7751262070611119,0.11875,540,0.0003,0.020113444843445905,-0.0127333510434255,0.2,0.010580244,0.020498044788837433
114688,229,499,56,22.33,0.7449063100000001,0.35882139205932617,-0.8508076267316937,0.163037109375,550,0.0003,0.02991839019523468,-0.018219978164415805,0.2,0.023791315,0.006109887734055519
116736,233,499,57,23.27,0.6671562600000001,0.35159361362457275,-0.8086906490847469,0.127001953125,560,0.0003,0.017380143066111485,-0.010428313860029449,0.2,0.014466741,0.026207461953163147
118784,237,499,58,27.61,0.7099844399999999,0.39161866903305054,-0.8350949576124549,0.13935546875,570,0.0003,0.02216785987111507,-0.015596572381764418,0.2,0.01753806,0.031461119651794434
120832,242,498,59,23.12,0.67102352,0.46116089820861816,-0.8803264141082764,0.141162109375,580,0.0003,0.02340154019475449,-0.01203207073849626,0.2,0.013918982,0.0017398716881871223
122880,246,498,60,24.59,0.7401602100000001,0.3045003414154053,-0.8050044547766447,0.129931640625,590,0.0003,0.026390060238190925,-0.009976543209631927,0.2,0.014622668,-0.019714437425136566
124928,250,498,61,25.42,0.7091406699999999,0.3036752939224243,-0.7616959111765027,0.14716796875,600,0.0003,0.021861813247960528,-0.013723930433479836,0.2,0.0137755275,0.007705641910433769
126976,254,497,62,22.22,0.6336953399999999,0.3110957741737366,-0.7959156608209014,0.143408203125,610,0.0003,0.020314492936449824,-0.012299923114187549,0.2,0.014054462,-0.018008649349212646
129024,259,497,63,25.02,0.70191796,0.2819957137107849,-0.7888352753594517,0.121044921875,620,0.0003,0.03531986303860322,-0.010816251966025448,0.2,0.019673858,0.018353629857301712
