time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
127,540672,11,4229,47.86,228385,0,140874,0.7517500519752502,-1.3190733062724271,-0.004803043619873885,0.0003,0.0911376953125,0.0110680131901366,0.6065340042114258,100,0.2,-0.006274555344134569,0.009402012,,,
140,589824,12,4202,54.52,254926,0,157923,0.7343611717224121,-1.2408184892808398,-0.004138627131881852,0.0003,0.08721516927083334,0.011002649745690481,0.5857378840446472,110,0.2,-0.005343029275536537,0.007917783,,,
152,638976,13,4179,46.59,282216,0,175014,0.7264723181724548,-1.1840484357749423,-0.002940991864488751,0.0003,0.07356363932291667,0.01024018945681746,0.5731573104858398,120,0.2,0.0007385825738310814,0.006795543,,,
165,688128,14,4159,43.93,309129,0,192874,0.7063890099525452,-1.1564856205756466,-0.002993558717207634,0.0003,0.075640869140625,0.012116229922442774,0.5419021844863892,130,0.2,0.00951449666172266,0.006840281,,,
177,737280,15,4142,48.83,336198,0,211002,0.7687778472900391,-1.119326981777946,-0.0028158316931997736,0.0003,0.07014363606770833,0.010926734089055874,0.5493217706680298,140,0.2,0.01232948713004589,0.006745172,,,
190,786432,16,4122,41.73,363425,0,229607,0.6639167070388794,-1.0532683357596397,-0.003701969320961022,0.0003,0.08032023111979167,0.009866204648521186,0.5628346800804138,150,0.2,0.005095595493912697,0.007797314,,,
203,835584,17,4102,45.65,391256,0,247862,0.7570832967758179,-1.025964470207691,-0.0029509661085588353,0.0003,0.07096964518229167,0.010634540255220296,0.5544745922088623,160,0.2,-0.0027378294616937637,0.0064330585,,,
216,884736,18,4090,44.29,419407,0,266058,0.7428889274597168,-0.9866964896209538,-0.0029456503633506752,0.0003,0.07360432942708334,0.01021047269726599,0.5531963109970093,170,0.2,0.0026329299435019493,0.006630089,,,
229,933888,19,4072,44.44,447354,0,284702,0.7714166045188904,-0.9437624385269979,-0.0026937370269782455,0.0003,0.06788330078125,0.01152400443291602,0.5221982598304749,180,0.2,0.006731496192514896,0.006234637,,,
241,983040,20,4065,43.22,475173,0,303565,0.7165277004241943,-0.9206558108950654,-0.0017154440725789754,0.0003,0.051802571614583334,0.011210233027910969,0.5273522138595581,190,0.2,-0.004921800456941128,0.0051762965,,,
254,1032192,21,4048,52.48,508595,0,316799,0.6798055768013,-0.91976005602628,-0.002633174896436685,0.0003,0.06501057942708334,0.011691583024366991,0.5164884328842163,200,0.2,-0.002128231804817915,0.00627302,0,0.75,1000008
267,1081344,22,4035,51.01,545115,0,327179,0.6471388936042786,-0.8974270677194,-0.004354443493806078,0.0003,0.08115234375,0.011961356875690398,0.5284850597381592,210,0.2,0.0074292514473199844,0.007140979,,,
280,1130496,23,4023,46.48,581617,0,337699,0.6627500057220459,-0.8708765653893351,-0.005256083793634995,0.0003,0.09310506184895834,0.011497558672272135,0.5520293712615967,220,0.2,0.0070801530964672565,0.00696584,,,
293,1179648,24,4013,46.33,617962,0,348433,0.6820278167724609,-0.8530771939394375,-0.005190665234234378,0.0003,0.09236246744791667,0.012220005702207952,0.5694888830184937,230,0.2,-0.014434341341257095,0.0070240498,,,
306,1228800,25,4004,44.3,654252,0,359319,0.7062777876853943,-0.8293700947426259,-0.004628631700810123,0.0003,0.079443359375,0.01183102420400246,0.5792052745819092,240,0.2,-0.0005118767730891705,0.0064157113,,,
319,1277952,26,3994,46.1,690430,0,370395,0.7092222571372986,-0.8005221683221558,-0.004683433737530625,0.0003,0.08534138997395833,0.012197529901459347,0.5945208072662354,250,0.2,0.003626602701842785,0.006482164,,,
332,1327104,27,3986,48.64,726925,0,381097,0.7403055429458618,-0.7731266747539242,-0.004081893852101833,0.0003,0.07609659830729167,0.011612920401482067,0.6104075908660889,260,0.2,0.015665462240576744,0.006001152,,,
345,1376256,28,3979,43.6,763106,0,392204,0.699472188949585,-0.7423799782370527,-0.0030950440596522336,0.0003,0.064581298828125,0.011396460094450353,0.5897351503372192,270,0.2,0.008211841806769371,0.0052731964,,,
358,1425408,29,3971,42.93,799471,0,403302,0.739694356918335,-0.7207832635069887,-0.0035210399038381485,0.0003,0.0664306640625,0.01225770021143641,0.5816582441329956,280,0.2,0.0009145950898528099,0.0053547197,,,
371,1474560,30,3964,44.52,835664,0,414570,0.7520277500152588,-0.6786167210278412,-0.0032989609437208854,0.0003,0.064044189453125,0.0122975728258704,0.5732030868530273,290,0.2,0.007976151071488857,0.005186323,,,
384,1523712,31,3958,45.94,872579,0,425398,0.7483333349227905,-0.6556329174588124,-0.002548494739433712,0.0003,0.05908406575520833,0.011963283796649193,0.5536996126174927,300,0.2,-0.002288368996232748,0.0046636765,,,
398,1572864,32,3951,42.61,909187,0,436659,0.6991666555404663,-0.6228523056643704,-0.0019911570495726966,0.0003,0.051824951171875,0.011329413213631293,0.5674240589141846,310,0.2,-0.00099504878744483,0.0043289335,,,
411,1622016,33,3946,40.94,945862,0,447872,0.7427499294281006,-0.5961303165803353,-0.002605243134651876,0.0003,0.055375162760416666,0.010672175459330902,0.565459132194519,320,0.2,0.00901962909847498,0.0046228077,,,
