time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,shield/actions_blocked,shield/actions_block_ignored,rollout/ep_len_mean,shield/actions_allowed,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,shield_cutoff_timestep
14,0.6960833072662354,4105,167,688128,193234,0,43.42,321195,0.01132535289871157,0.009642322547733784,-1.1080028252055247,0.2,0.5607832670211792,0.073114013671875,130,-0.0031247962902246702,0.0003,0.0072672763,
15,0.7456666827201843,4081,180,737280,212279,0,50.47,347849,0.011176333989715204,0.00879302341490984,-1.0645621261869869,0.2,0.5454494953155518,0.059942626953125,140,-0.0023504042092705882,0.0003,0.006179115,
16,0.7270278334617615,4062,193,786432,232071,0,44.31,374111,0.0110177778180514,0.006000020075589418,-1.054493367485702,0.2,0.542216956615448,0.06975504557291666,150,-0.00260617659635803,0.0003,0.0062814276,
17,0.7411665916442871,4043,206,835584,251599,0,45.5,401083,0.010858726722896487,0.000641973689198494,-1.0135915928520263,0.2,0.5353545546531677,0.06263427734375,160,-0.0024030549605110235,0.0003,0.006133141,
18,0.785611093044281,4027,219,884736,271249,0,42.72,428132,0.010143670081985572,-0.0048980796709656715,-0.9822244787588715,0.2,0.5443594455718994,0.06672159830729167,170,-0.002846944703621072,0.0003,0.006616237,
19,0.7822499871253967,4013,232,933888,291026,0,40.27,455320,0.010464818619463282,-0.0018108822405338287,-0.9548819730679194,0.2,0.5401321053504944,0.05477294921875,180,-0.0018086994803525158,0.0003,0.0058267578,
20,0.7300000786781311,4000,245,983040,311153,0,44.78,482191,0.010645980468204167,0.00020991265773773193,-0.9282350042213996,0.2,0.5266987681388855,0.05776774088541667,190,-0.002168429761998899,0.0003,0.005846691,
21,0.7513889074325562,3988,258,1032192,331440,0,44.23,509100,0.010911097963010737,0.0058548529632389545,-0.9080751915772756,0.2,0.530376672744751,0.055714925130208336,200,-0.0018323795477651098,0.0003,0.0055208127,
22,0.7831944227218628,3979,271,1081344,351645,0,47.32,536339,0.01076247429276312,0.0035650692880153656,-0.8736086355522275,0.2,0.5310584902763367,0.06376139322916667,210,-0.002813098597107455,0.0003,0.0060204105,
23,0.7611111402511597,3968,284,1130496,371657,0,44.13,563890,0.011203285908413818,-0.0017361529171466827,-0.8381734443518023,0.2,0.5126911997795105,0.05963541666666667,220,-0.0021364258628940053,0.0003,0.005549504,
24,0.7621666789054871,3959,297,1179648,391675,0,37.5,591499,0.01106578984617954,0.007693917956203222,-0.8249506561396023,0.2,0.5228405594825745,0.051177978515625,230,-0.0016913246880600732,0.0003,0.0051327967,
25,0.7845000624656677,3957,310,1228800,411607,0,46.67,619383,0.010314938056399114,0.0007739239372313023,-0.8038355595121781,0.2,0.5251491069793701,0.052201334635416666,240,-0.0020802570186181884,0.0003,0.005304443,
26,0.7557499408721924,3949,323,1277952,431868,0,42.71,647089,0.010630770053103334,0.001386009156703949,-0.7901407877604166,0.2,0.5076171159744263,0.056717936197916666,250,-0.0024349517283553724,0.0003,0.0056256317,
27,0.7357499003410339,3944,336,1327104,451694,0,42.82,675393,0.01020362635802788,0.0026282798498868942,-0.7622656967801352,0.2,0.5129696130752563,0.059814453125,260,-0.0024132711312025395,0.0003,0.006120108,
28,0.7568055987358093,3942,349,1376256,471215,0,42.93,703978,0.010132650990999536,0.0005940352566540241,-0.743616969914486,0.2,0.5118399262428284,0.053680419921875,270,-0.0019546076605062505,0.0003,0.005672203,
29,0.7818889021873474,3941,361,1425408,490313,0,47.28,733012,0.01011533261165217,0.008103135041892529,-0.732654159112523,0.2,0.5131320953369141,0.04989420572916667,280,-0.002301831483964634,0.0003,0.0052000578,
