time/fps,time/total_timesteps,shield/actions_allowed,rollout/ep_rew_mean,time/iterations,shield/actions_block_ignored,shield/actions_blocked,shield/constant_delta,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,shield/stage,shield/transition_timestep,shield/ignore_prob
4389,540672,185619,0.7237657308578491,11,0,199138,,123,19.95,0.0003,0.0155321426136652,100,0.007757964,0.2,0.08391316731770833,-1.2461157541722059,-0.0026398687047427907,0.007747975178062916,0.3222259283065796,,,
4361,589824,206698,0.7250663638114929,12,0,223124,,135,19.61,0.0003,0.015668153041769984,110,0.007170018,0.2,0.07330322265625,-1.197969088703394,-0.001968749185410464,0.0080817686393857,0.32662785053253174,,,
4339,638976,228113,0.7944688200950623,13,0,246974,,147,20.19,0.0003,0.016098902630619704,120,0.008280487,0.2,0.07554524739583333,-1.1606285056720178,-0.0026229116559989053,0.010894369333982468,0.3171378970146179,,,
4318,688128,250762,0.7776679992675781,14,0,270441,,159,18.43,0.0003,0.016359348192296844,130,0.0069371485,0.2,0.07093709309895833,-1.1241003171230355,-0.002588904514777823,-0.006814080756157637,0.30925238132476807,,,
4296,737280,273148,0.7933086156845093,15,0,294624,,171,19.98,0.0003,0.015547003895577897,140,0.006001702,0.2,0.054823811848958334,-1.064960182333986,-0.001342996538915031,0.011990130878984928,0.3225586414337158,,,
4280,786432,296475,0.8060859441757202,16,0,318003,,183,18.81,0.0003,0.01591953651004587,150,0.006201137,0.2,0.05602213541666667,-1.028621881082654,-0.0014831714423659528,0.01369639951735735,0.30231791734695435,,,
4265,835584,319707,0.6627657413482666,17,0,341794,,195,17.61,0.0003,0.015297595038888782,160,0.005963882,0.2,0.05743611653645833,-0.998693045694381,-0.0016456321690687522,0.0017607244662940502,0.29524320363998413,,,
4249,884736,342970,0.7400585412979126,18,0,365873,,208,17.92,0.0003,0.017938230682436065,170,0.0064593176,0.2,0.06665852864583334,-0.956072555265079,-0.0023215491200365554,-0.0011701928451657295,0.28324592113494873,,,
4235,933888,365364,0.7946093678474426,19,0,390912,,220,19.23,0.0003,0.017733050105016447,180,0.0054445243,0.2,0.05132242838541667,-0.956387712682287,-0.001582913506475355,-0.0022171204909682274,0.2834906578063965,,,
4222,983040,387502,0.712765634059906,20,0,416398,,232,17.52,0.0003,0.017615448605405013,190,0.0057274164,0.2,0.047540283203125,-0.9382691748750707,-0.000922035276380484,0.01152681466192007,0.29300373792648315,,,
4207,1032192,409970,0.8372460007667542,21,0,441777,,245,18.35,0.0003,0.016936116742969413,200,0.0052574226,0.2,0.047196451822916666,-0.9304888698893289,-0.0008132734377795714,0.007980269379913807,0.28911149501800537,0,1000008,0.25
4196,1081344,431531,0.7943280935287476,22,0,468281,,257,19.5,0.0003,0.016897606523586243,210,0.0061766803,0.2,0.05105794270833333,-0.9080650166918834,-0.001624078095543761,0.01831555925309658,0.291797399520874,,,
4186,1130496,452244,0.7599531412124634,23,0,495625,,270,17.71,0.0003,0.017366521610771693,220,0.0061749555,0.2,0.045281982421875,-0.8870847910021742,-0.0011581871173499774,0.015056856907904148,0.28122150897979736,,,
4177,1179648,474034,0.7410077452659607,24,0,522013,,282,17.91,0.0003,0.01443099422698045,230,0.0052611455,0.2,0.04751180013020833,-0.8827017475229998,-0.0012037909490876094,0.011547975242137909,0.29666680097579956,,,
4169,1228800,495447,0.7621679902076721,25,0,548911,,294,17.15,0.0003,0.017094789979212995,240,0.0062581287,0.2,0.04361165364583333,-0.8748955810442567,-0.00153121638080241,0.012658962979912758,0.2747684717178345,,,
4159,1277952,517216,0.7979140281677246,26,0,575450,,307,18.1,0.0003,0.017135093308024808,250,0.005546672,0.2,0.039605712890625,-0.8530399305435519,-0.0009696148515104142,0.0070444028824567795,0.28182804584503174,,,
4150,1327104,538769,0.7403046488761902,27,0,602264,,319,18.19,0.0003,0.015293781650567932,260,0.005762681,0.2,0.052443440755208334,-0.8322876071246962,-0.002400892744481098,-0.009950037114322186,0.2961735725402832,,,
4141,1376256,560036,0.7845039963722229,28,0,629364,,332,19.12,0.0003,0.015355407153037959,270,0.0051853885,0.2,0.03695271809895833,-0.8230130650413533,-0.0008437754235880372,0.01581333763897419,0.2866898775100708,,,
4133,1425408,580936,0.7688983678817749,29,0,656890,,344,17.76,0.0003,0.016745178458707717,280,0.005521117,0.2,0.04625651041666667,-0.8160132794020076,-0.0014941838354692058,0.0012027677148580551,0.2945566773414612,,,
4126,1474560,602626,0.7855586409568787,30,0,683629,,357,19.19,0.0003,0.01783410904026823,290,0.0052789045,0.2,0.03609822591145833,-0.8071369666916629,-0.0006740261148176311,0.004159214906394482,0.2854342460632324,,,
4119,1523712,624972,0.8061915040016174,31,0,709665,,369,18.68,0.0003,0.018999911772940928,300,0.005473967,0.2,0.043599446614583336,-0.8056898928247392,-0.0017289740003737582,0.004001479595899582,0.2835350036621094,,,
4113,1572864,647539,0.7815001010894775,32,0,735497,,382,17.21,0.0003,0.01678042409888197,310,0.006107067,0.2,0.04196573893229167,-0.804416878366222,-0.0010676909024671963,0.01237927284091711,0.28856635093688965,,,
4107,1622016,670644,0.7671406269073486,33,0,760848,,394,18.88,0.0003,0.016188268279195957,320,0.0052144057,0.2,0.04554443359375,-0.8046003051723043,-0.0020952947404415073,0.007264092098921537,0.2888414263725281,,,
4102,1671168,693464,0.8234843611717224,34,0,786444,,407,19.39,0.0003,0.016295351957402695,330,0.0057191434,0.2,0.041184488932291666,-0.7892494830613335,-0.0012722047121618138,0.010531643405556679,0.2964465022087097,,,
4096,1720320,716017,0.7895665168762207,35,0,812357,,419,17.71,0.0003,0.017085848833206303,340,0.005249536,0.2,0.04144694010416667,-0.7901398207060992,-0.0012096450630148562,0.014208829961717129,0.29644131660461426,,,
4091,1769472,738300,0.7416757941246033,36,0,838627,,432,17.74,0.0003,0.01611918876709145,350,0.005646355,0.2,0.04515380859375,-0.7851953980512917,-0.0013197015558641092,0.011869233101606369,0.28415191173553467,,,
4087,1818624,760356,0.8036250472068787,37,0,865043,,444,19.41,0.0003,0.01678500184668034,360,0.0053877905,0.2,0.039892578125,-0.7772718702132503,-0.0011266966358865224,0.0010088048875331879,0.2746257185935974,,,
4082,1867776,782323,0.7704805731773376,38,0,891569,,457,17.87,0.0003,0.01801910068364426,370,0.005183159,0.2,0.03955485026041667,-0.7677723118414481,-0.0012086574808563455,0.009654426015913486,0.27126598358154297,,,
4078,1916928,804072,0.7754882574081421,39,0,918322,,470,18.76,0.0003,0.01666558488335189,380,0.0058934116,0.2,0.044464111328125,-0.7779085686430335,-0.001526054799190509,0.003119968343526125,0.2896322011947632,,,
4074,1966080,826342,0.7599531412124634,40,0,944665,,482,17.8,0.0003,0.015239082053691769,390,0.0049689803,0.2,0.042958577473958336,-0.7665608656903108,-0.0015197118776692756,0.008566427044570446,0.2936384677886963,,,
4068,2015232,848008,0.7737149000167847,41,0,971525,,495,16.58,0.0003,0.015404415199009236,400,0.006238119,0.2,0.044927978515625,-0.7712190716527403,-0.001976874236152071,0.0060682641342282295,0.2926701307296753,1,2000016,0.5
