time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
55296,0.0,117,469,60.0,27,-0.026970865204930305,-1.453723055496812,-0.011801363549602683,0.017056968,260,0.17626953125,0.2681754231452942,7.610435603169207e-05,0.2,0.0003
57344,0.0,122,469,60.0,28,-0.028977418318390846,-1.4498196750879289,-0.014272268470085692,0.008436584,270,0.090966796875,-2.40718674659729,3.7459391022309775e-05,0.2,0.0003
59392,0.0,126,470,60.0,29,-0.020843014121055603,-1.4723131623119117,-0.019299612198665272,0.016647603,280,0.181591796875,-4.849444389343262,7.649621268797091e-05,0.2,0.0003
61440,0.0,130,470,60.0,30,-0.022311687469482422,-1.4633699089288712,-0.013160996456281281,0.011603712,290,0.134716796875,-2.36588716506958,5.948468586893796e-05,0.2,0.0003
63488,0.0,134,470,60.0,31,-0.026635417714715004,-1.4468578927218914,-0.01044111965529737,0.015706025,300,0.153076171875,-0.6031993627548218,0.00015234961937267145,0.2,0.0003
65536,0.0,139,470,60.0,32,-0.017535381019115448,-1.4441993340849877,-0.010847458138596267,0.015886467,310,0.138232421875,-1.7581195831298828,4.1872794429309576e-05,0.2,0.0003
67584,0.0,143,471,60.0,33,-0.052032262086868286,-1.483183616027236,-0.01240398526424542,0.020954363,320,0.18447265625,-4.284572124481201,3.0332287656165137e-05,0.2,0.0003
69632,0.0,147,471,60.0,34,-0.030872980132699013,-1.4830955266952515,-0.01436909870026284,0.015700221,330,0.123388671875,-2.4464948177337646,3.074754586975814e-05,0.2,0.0003
71680,0.0,152,469,60.0,35,-0.020198723301291466,-1.527335362136364,-0.01166851274392684,0.0121594425,340,0.135205078125,-1.270615577697754,2.260197011736409e-05,0.2,0.0003
73728,0.0,157,468,60.0,36,-0.005334901623427868,-1.5275203969329596,-0.012795514830941102,0.019996647,350,0.160888671875,-1.3713953495025635,6.748360706865242e-05,0.2,0.0003
75776,0.0,162,467,60.0,37,-0.008484463207423687,-1.5355814594775439,-0.014797710911079776,0.016911685,360,0.170166015625,-1.8993680477142334,2.4434460510747157e-05,0.2,0.0003
77824,0.0,166,466,60.0,38,-0.0074502346105873585,-1.5189165122807027,-0.01643419781757984,0.018034056,370,0.190478515625,-0.275083065032959,5.800844162138219e-05,0.2,0.0003
79872,0.0,171,466,60.0,39,-0.04739341512322426,-1.5484710767865182,-0.018514638413034846,0.020017028,380,0.198583984375,0.6221181154251099,0.0001255972806745831,0.2,0.0003
81920,0.0,175,466,60.0,40,-0.04012005776166916,-1.570023901388049,-0.018845150562992786,0.014779745,390,0.1591796875,-1.5160560607910156,5.797184371942876e-05,0.2,0.0003
83968,0.0,180,465,60.0,41,-0.04448302835226059,-1.5615755788981915,-0.01722290132602211,0.019372739,400,0.189208984375,-0.026001691818237305,2.9733123741948476e-05,0.2,0.0003
86016,0.0,184,465,60.0,42,0.0304260291159153,-1.559246489033103,-0.015255800691375044,0.014294043,410,0.123193359375,-0.576349139213562,4.869757942742581e-05,0.2,0.0003
88064,0.0,189,465,60.0,43,-0.005976919084787369,-1.5616476107388735,-0.013928980334458173,0.01405715,420,0.14814453125,-0.6831825971603394,4.931270822225997e-05,0.2,0.0003
90112,0.0,193,464,60.0,44,-0.0017897827783599496,-1.5275220859795808,-0.015432668978974107,0.019630075,430,0.1642578125,-0.5073434114456177,7.305917440874055e-05,0.2,0.0003
92160,0.0,198,464,60.0,45,-0.03227667883038521,-1.5720494575798512,-0.017373916239012032,0.017257791,440,0.155224609375,-2.650512933731079,3.59432259017467e-05,0.2,0.0003
94208,0.0,202,465,60.0,46,0.011595714837312698,-1.582850457727909,-0.011232337135879789,0.014367918,450,0.12314453125,-0.22822022438049316,0.00011564189730393082,0.2,0.0003
96256,0.0,206,465,60.0,47,0.0048802983947098255,-1.6161186896264552,-0.015371613563911524,0.02513251,460,0.150927734375,-3.0138235092163086,3.93486397712195e-05,0.2,0.0003
98304,0.0,211,464,60.0,48,-0.045509468764066696,-1.6305239405483007,-0.018753236717020626,0.012870813,470,0.147998046875,-0.9716627597808838,6.787397509810944e-05,0.2,0.0003
100352,0.0,216,464,60.0,49,-0.04793153330683708,-1.6541950937360526,-0.019790562262642197,0.023117777,480,0.23671875,-0.055800557136535645,9.006038966674623e-05,0.2,0.0003
102400,0.0,220,464,60.0,50,-0.024113625288009644,-1.6336525354534388,-0.023907754066749477,0.022895843,490,0.214990234375,-1.9048199653625488,2.9751503328157013e-05,0.2,0.0003
