time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,shield/actions_blocked,shield/actions_block_ignored,rollout/ep_len_mean,shield/actions_allowed,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,shield_cutoff_timestep
12,0.7186172008514404,4288,137,589824,239060,0,18.39,195319,0.017767796446181212,0.007327193394303322,-1.189627013914287,0.2,0.304138720035553,0.079534912109375,110,-0.002488340266305992,0.0003,0.007744772,
13,0.8026406168937683,4264,149,638976,267756,0,19.93,212764,0.015965058112972958,0.002880983054637909,-1.1467564562956492,0.2,0.3139476776123047,0.06833902994791667,120,-0.0016878012427090046,0.0003,0.006731538,
14,0.7389686703681946,4242,162,688128,296346,0,18.19,230857,0.016151185736089247,-0.009777601808309555,-1.0989921138311425,0.2,0.2983202338218689,0.06624755859375,130,-0.001663150259385778,0.0003,0.0068739913,
15,0.7845741510391235,4224,174,737280,325575,0,19.54,248590,0.017321153958861638,0.0014506005682051182,-1.067127268947661,0.2,0.2926328182220459,0.065350341796875,140,-0.0013611193992195088,0.0003,0.006551664,
16,0.7945742607116699,4206,186,786432,355542,0,19.5,265523,0.017117617936552657,0.00516984798014164,-1.0576453662166994,0.2,0.29923582077026367,0.05566202799479167,150,-0.0010728962057934648,0.0003,0.0059840106,
17,0.7842578291893005,4182,199,835584,386095,0,19.47,281940,0.01793797694942138,-0.0003340691328048706,-1.039008741391202,0.2,0.29224079847335815,0.05767618815104167,160,-0.0015304321117582732,0.0003,0.006989826,
18,0.7746445536613464,4163,212,884736,416364,0,19.12,298904,0.01684349136194214,0.01375532802194357,-1.0205055121642848,0.2,0.2845813035964966,0.06282552083333333,170,-0.0018357643622342343,0.0003,0.0066312053,
19,0.8045039176940918,4145,225,933888,446326,0,19.13,316373,0.016565384993009503,0.0037737060338258743,-0.9980490916098158,0.2,0.2912746071815491,0.05377197265625,180,-0.0014354697560823601,0.0003,0.0069103693,
20,0.7681602239608765,4129,238,983040,476272,0,18.11,333936,0.014018776942248224,-0.004669390618801117,-0.9960554301117858,0.2,0.30258703231811523,0.062178548177083334,190,-0.001672164302302311,0.0003,0.006360631,
21,0.7697421312332153,4115,250,1032192,506660,0,17.99,351238,0.016738622809619606,-0.001504853367805481,-0.9651743611320853,0.2,0.29160773754119873,0.04776611328125,200,-0.0007151776724034183,0.0003,0.006263292,
22,0.7411484718322754,4102,263,1081344,537018,0,17.56,368815,0.016403148846681384,0.010860132984817028,-0.9516356620316704,0.2,0.29463595151901245,0.040911865234375,210,-0.0004100966199985123,0.0003,0.0050206124,
23,0.7422735095024109,4094,276,1130496,567489,0,17.5,386314,0.018528614338477686,0.004126225598156452,-0.9221443483605981,0.2,0.2746644616127014,0.055426025390625,220,-0.0015481831313688113,0.0003,0.0059243278,
24,0.7523437738418579,4087,288,1179648,597932,0,17.1,403980,0.018347690564648172,0.01715012639760971,-0.9027031414521237,0.2,0.2795279026031494,0.05459798177083333,230,-0.0016336564055867105,0.0003,0.0062024617,
25,0.796578049659729,4081,301,1228800,628517,0,18.71,421514,0.017082042074859298,0.012246958911418915,-0.882899871468544,0.2,0.2769787907600403,0.041827392578125,240,-0.001293447889838717,0.0003,0.004715062,
26,0.7124491930007935,4076,313,1277952,658479,0,17.45,439668,0.015178118242814283,0.008300501853227615,-0.8716807714663446,0.2,0.2923976182937622,0.07020060221354167,250,-0.0025502052829324386,0.0003,0.0069491677,
27,0.8077030181884766,4071,325,1327104,688188,0,18.59,458233,0.018236454436798038,0.018760498613119125,-0.8429127929111322,0.2,0.2737257480621338,0.055126953125,260,-0.0017381996316544247,0.0003,0.007121999,
28,0.8067187666893005,4066,338,1376256,717712,0,18.67,477066,0.018280577487166737,-0.005773283075541258,-0.8227875843333702,0.2,0.2797005772590637,0.046738688151041666,270,-0.0011985845011925752,0.0003,0.005465533,
29,0.7977030873298645,4061,350,1425408,747564,0,18.15,495682,0.017090964487821717,0.0012143375352025032,-0.8103061228059232,0.2,0.2895800471305847,0.048614501953125,280,-0.000998152621590028,0.0003,0.005262248,
