time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
112640,0.0,232,483,134.73,55,-0.020066319033503532,-1.4626407742500305,-0.023734914224041857,0.015257137,540,0.19287109375,-1.905339241027832,1.8290593745362572e-06,0.2,0.0003
114688,0.0,237,483,135.15,56,-0.029821282252669334,-1.4525044109672307,-0.02268744176471955,0.023692243,550,0.23837890625,0.2523242235183716,1.6161668657588279e-06,0.2,0.0003
116736,0.0,241,483,136.44,57,-0.03875500336289406,-1.4728280894458294,-0.02548257628659485,0.015075145,560,0.18642578125,-3.6477627754211426,1.4237041461306887e-06,0.2,0.0003
118784,0.0,245,483,139.17,58,-0.05592074245214462,-1.420139553397894,-0.025795160197594667,0.016237646,570,0.2025390625,-2.011085271835327,2.0521806616713436e-06,0.2,0.0003
120832,0.0,249,483,136.52,59,-0.04494369775056839,-1.3911336734890938,-0.03225625650520669,0.021748438,580,0.278955078125,-3.562077522277832,1.7358479519558046e-06,0.2,0.0003
122880,0.0,254,483,136.21,60,-0.03535963594913483,-1.3927765890955925,-0.02648643234933843,0.020611532,590,0.2125,-1.4593803882598877,3.032992090368225e-06,0.2,0.0003
124928,0.0,258,483,134.05,61,-0.05783826857805252,-1.406339243426919,-0.024985831732919905,0.019191377,600,0.224755859375,-1.2378759384155273,4.0361849155345905e-06,0.2,0.0003
126976,0.0,262,483,135.06,62,-0.0499369315803051,-1.4455588188022375,-0.024768744729226456,0.019326191,610,0.2041015625,-1.5639054775238037,2.0325386703490266e-06,0.2,0.0003
129024,0.0,267,483,129.52,63,-0.03899785131216049,-1.4103044785559178,-0.026608164556091652,0.022128914,620,0.234228515625,-1.953756332397461,1.8519863715482643e-06,0.2,0.0003
131072,0.0,271,483,128.09,64,-0.03856116905808449,-1.3698724765330552,-0.022075916135509032,0.013557759,630,0.17451171875,-3.1571474075317383,1.5703350496387713e-06,0.2,0.0003
133120,0.0,275,482,128.26,65,-0.049651581794023514,-1.3565285626798869,-0.027786772647232283,0.020540174,640,0.221923828125,-3.95743989944458,1.54212744574167e-06,0.2,0.0003
135168,0.0,279,482,130.77,66,-0.04945662245154381,-1.3448561705648898,-0.02484039617847884,0.016179923,650,0.188720703125,-3.05743408203125,2.5222773512467713e-06,0.2,0.0003
137216,0.0,284,482,132.49,67,-0.02673845924437046,-1.3234037015587092,-0.026842733401281293,0.017520798,660,0.206640625,-4.28361701965332,1.5882847639758779e-06,0.2,0.0003
139264,0.0,288,482,133.83,68,-0.025271693244576454,-1.3373212676495314,-0.021661002229666337,0.016173225,670,0.187939453125,-1.4744749069213867,3.560480454822823e-06,0.2,0.0003
141312,0.0,292,482,132.41,69,-0.05269431322813034,-1.285908891633153,-0.027041047753300518,0.018138804,680,0.232275390625,-3.3884987831115723,2.638481512740043e-06,0.2,0.0003
143360,0.0,296,482,135.04,70,-0.04573236405849457,-1.3032541554421186,-0.026816137829155196,0.021481778,690,0.23681640625,-1.1065495014190674,3.476292514648094e-06,0.2,0.0003
145408,0.0,301,482,136.42,71,-0.053053636103868484,-1.2374662555754186,-0.025480724433873548,0.019968301,700,0.177880859375,-1.754509687423706,1.644995715288644e-06,0.2,0.0003
147456,0.0,305,482,135.87,72,-0.08039769530296326,-1.2179159596562386,-0.022600691749539693,0.041520275,710,0.19306640625,-1.1545028686523438,5.318052776459581e-06,0.2,0.0003
149504,0.0,309,482,135.27,73,-0.009425637312233448,-1.278568061813712,-0.023060986676136964,0.017354805,720,0.170947265625,-3.1119961738586426,3.916565972517106e-06,0.2,0.0003
151552,0.0,314,482,133.86,74,0.0018789187306538224,-1.2102501396089793,-0.023520789240137674,0.030339472,730,0.17255859375,-2.2109029293060303,1.6886753344991234e-06,0.2,0.0003
153600,0.0,318,482,130.58,75,-0.04009002447128296,-1.2617048807442188,-0.022036479329835858,0.015838755,740,0.17177734375,-4.935163497924805,9.77975999472136e-07,0.2,0.0003
155648,0.0,322,482,133.08,76,-0.05602975934743881,-1.2681156322360039,-0.01921955254074419,0.016742958,750,0.18525390625,-3.8723526000976562,1.897093518721249e-06,0.2,0.0003
157696,0.0,326,482,132.41,77,-0.03503408282995224,-1.2016559563577176,-0.015631163715443108,0.017706838,760,0.17548828125,-1.7850446701049805,3.751620236158715e-06,0.2,0.0003
159744,0.0,331,482,132.74,78,0.04597834125161171,-1.2723284218460322,-0.022889490322268103,0.020274218,770,0.204443359375,-1.434401035308838,2.7509484635146466e-06,0.2,0.0003
161792,0.0,335,482,133.19,79,-0.055424436926841736,-1.2186648353934288,-0.02547728088829899,0.018019397,780,0.177490234375,-0.26894378662109375,2.258145486955243e-06,0.2,0.0003
163840,0.0,339,482,134.94,80,-0.02954329550266266,-1.1133589243516326,-0.02785918384033721,0.029409567,790,0.25654296875,-0.09800934791564941,1.7938322448785017e-06,0.2,0.0003
165888,0.0,343,482,134.06,81,-0.04866303503513336,-1.0714499849826098,-0.023429621220566334,0.016218405,800,0.1775390625,-1.1968364715576172,1.9458817360984427e-06,0.2,0.0003
167936,0.0,348,482,136.51,82,-0.014549054205417633,-1.0377070249989628,-0.02280156934430124,0.017415691,810,0.17060546875,-2.4032344818115234,2.244399539108599e-06,0.2,0.0003
169984,0.0,352,482,134.18,83,-0.016546687111258507,-1.0058802677318455,-0.02271415022405563,0.0130741745,820,0.127099609375,-0.5291570425033569,1.081174000017171e-06,0.2,0.0003
172032,0.0,356,482,131.39,84,-0.055920056998729706,-1.1649484511464834,-0.02958015232725302,0.02695917,830,0.20673828125,-2.6682279109954834,2.4411481922115284e-06,0.2,0.0003
174080,0.0,360,482,131.51,85,-0.050803959369659424,-1.0974388843402267,-0.023705754306865855,0.01710157,840,0.157421875,-0.47645652294158936,1.4590518865986724e-06,0.2,0.0003
176128,0.0,364,482,131.8,86,-0.061939239501953125,-1.1604420997202396,-0.029498222893016644,0.018614013,850,0.20849609375,-2.3326754570007324,2.114402942599014e-06,0.2,0.0003
178176,0.0,369,482,127.99,87,-0.04079176113009453,-1.1529789503663779,-0.01825241953629302,0.017996103,860,0.197265625,-0.3558173179626465,6.941984076291874e-06,0.2,0.0003
180224,0.0,373,482,128.54,88,-0.06481961905956268,-1.1446178440004586,-0.021923529318883084,0.017451156,870,0.171484375,-5.048702716827393,2.1514469425554237e-06,0.2,0.0003
182272,0.0,377,482,132.9,89,-0.03087703138589859,-1.1786606293171644,-0.02682106798165478,0.015139887,880,0.147998046875,-3.4431605339050293,1.8922195475390424e-06,0.2,0.0003
184320,0.0,381,482,136.33,90,-0.02423558570444584,-1.1129544697701932,-0.01664215254713781,0.023132633,890,0.148828125,-4.288720607757568,1.3670343617988578e-06,0.2,0.0003
186368,0.0,386,482,138.08,91,-0.03805942460894585,-1.2146665070205926,-0.025393747792986688,0.01731209,900,0.19111328125,-5.465287685394287,4.296339725406995e-06,0.2,0.0003
188416,0.0,390,482,138.0,92,-0.04833861440420151,-1.192735517397523,-0.03037925401877146,0.023359073,910,0.22490234375,-3.5314488410949707,4.620780812203407e-06,0.2,0.0003
190464,0.0,394,482,139.38,93,0.04050187021493912,-1.146179500594735,-0.025261636220966464,0.018330935,920,0.190576171875,-1.7861042022705078,2.3944348519933102e-06,0.2,0.0003
192512,0.0,399,482,139.9,94,-0.045272376388311386,-1.1478206366300583,-0.01926936895761173,0.015273265,930,0.161328125,-0.8323097229003906,1.2675396417805017e-06,0.2,0.0003
194560,0.0,403,482,140.67,95,-0.020892901346087456,-1.066135567240417,-0.01911501285612758,0.027907178,940,0.2240234375,0.1983512043952942,1.0008831357666282e-05,0.2,0.0003
196608,0.0,407,482,139.19,96,-0.039160750806331635,-1.0973363984376192,-0.02168111711362144,0.033254612,950,0.181787109375,-2.8611032962799072,3.193964615810785e-06,0.2,0.0003
198656,0.0,412,481,139.94,97,-0.03179524093866348,-1.0955265168100596,-0.029807232281018513,0.018090846,960,0.191259765625,-7.016519546508789,3.1292394670145996e-06,0.2,0.0003
200704,0.0,416,481,139.79,98,-0.029726959764957428,-1.1636835757642985,-0.0238762748267618,0.018678846,970,0.226708984375,-4.257699012756348,4.132607234552665e-06,0.2,0.0003
