time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,shield/ignore_prob,shield/transition_timestep,shield/stage
786432,4519,174,16,0.866142988204956,29.25,0.0022025268990546465,-0.6333251832363506,0.06855875651041667,0.5536173582077026,-0.00365105130495067,0.2,0.0003,0.003442591370306521,150,0.0045730504,,,
835584,4505,185,17,0.8888571858406067,28.42,-0.001219104160554707,-0.5790884673284987,0.059499104817708336,0.5496065616607666,-0.003664556703309548,0.2,0.0003,0.0032590933865625023,160,0.00425097,,,
884736,4497,196,18,0.8827143311500549,27.3,-0.00457006087526679,-0.513987762061879,0.054947916666666666,0.5349094867706299,-0.002978143111128399,0.2,0.0003,0.003417206426577953,170,0.0039917193,,,
933888,4483,208,19,0.8894999623298645,28.16,-0.0014143679291009903,-0.4557046823358784,0.04141438802083333,0.5478843450546265,-0.0023664565986109666,0.2,0.0003,0.0031925764812816243,180,0.0029956184,,,
983040,4428,221,20,0.8999642729759216,28.01,0.0048642028123140335,-0.41625649367148676,0.036846923828125,0.5744471549987793,-0.0017811033154127168,0.2,0.0003,0.002589128719106763,190,0.0032017324,,,
1032192,4376,235,21,0.8915356993675232,27.59,0.0007201848202385008,-0.3954173506548007,0.03604736328125,0.5555323362350464,-0.0019364766983623364,0.2,0.0003,0.002939015683841717,200,0.0027668152,,,
1081344,4374,247,22,0.8975000977516174,28.7,0.0074089448899030685,-0.3800037771463394,0.0273681640625,0.5677276253700256,-0.0012838950104802885,0.2,0.0003,0.0027776866578885042,210,0.0023867341,,,
1130496,4371,258,23,0.8711071610450745,28.15,-0.0009939019801095128,-0.3813278840854764,0.03502197265625,0.534531831741333,-0.001639515336258531,0.2,0.0003,0.0031481322712352267,220,0.0033883378,,,
1179648,4369,269,24,0.8935356736183167,27.06,-0.0062497323378920555,-0.3634718979243189,0.02794189453125,0.5327187776565552,-0.0012333343016507569,0.2,0.0003,0.0032882626460680815,230,0.0028987303,,,
1228800,4368,281,25,0.8784285187721252,28.51,0.002624917309731245,-0.3528778887198617,0.03560587565104167,0.5566260814666748,-0.0023851205568765485,0.2,0.0003,0.0028214890258823288,240,0.012861195,,,
1277952,4367,292,26,0.8912857174873352,27.66,0.008530737832188606,-0.3454989650597175,0.03724365234375,0.5454379916191101,-0.0026321455072926864,0.2,0.0003,0.0029048699438741703,250,0.0049540824,,,
1327104,4366,303,27,0.9019998908042908,27.44,0.0021949075162410736,-0.30894133540180824,0.0252197265625,0.5457050800323486,-0.0019914713481133123,0.2,0.0003,0.0030044114482734585,260,0.014131502,,,
1376256,4365,315,28,0.8803571462631226,27.96,-0.002841472625732422,-0.3065343806442494,0.021201578776041667,0.546952486038208,-0.0012812612657853606,0.2,0.0003,0.003002271568220749,270,0.006324146,,,
1425408,4365,326,29,0.8806072473526001,27.87,0.000272350967861712,-0.2885268874388809,0.027325439453125,0.5485891699790955,-0.0021081402423078544,0.2,0.0003,0.0027610372059522583,280,0.029474584,,,
1474560,4365,337,30,0.87628573179245,26.34,0.005441415123641491,-0.2712209906273832,0.022007242838541666,0.5383871793746948,-0.0013622924492362168,0.2,0.0003,0.0029935266875327216,290,0.0023131366,,,
1523712,4364,349,31,0.8804642558097839,27.99,0.00565915834158659,-0.27267486227986715,0.020847574869791666,0.5344123840332031,-0.0009084183312855506,0.2,0.0003,0.003120887170189235,300,0.0021962733,,,
1572864,4363,360,32,0.891035795211792,27.74,-0.0020761138293892145,-0.27360890571338436,0.020463053385416666,0.5189753770828247,-0.0007887502809353463,0.2,0.0003,0.003371299765179477,310,0.0022041567,,,
1622016,4362,371,33,0.8527142405509949,27.64,0.002140671480447054,-0.2620547686237842,0.018023681640625,0.5118974447250366,-0.0012720422772417805,0.2,0.0003,0.0032536084049449225,320,0.004259821,,,
1671168,4361,383,34,0.8540714383125305,26.99,0.0034678305964916945,-0.26963138088273503,0.0154541015625,0.5316743850708008,-0.0007955935253752007,0.2,0.0003,0.0030942715446750906,330,0.002456025,,,
1720320,4359,394,35,0.8999285697937012,28.02,0.005221080966293812,-0.26847479299952587,0.0177978515625,0.5509446859359741,-0.0010507286919770801,0.2,0.0003,0.0028766428724338764,340,0.0023010522,,,
1769472,4357,406,36,0.8823928833007812,27.61,0.002594608813524246,-0.26160567270902296,0.017781575520833332,0.572424590587616,-0.0011484591980358042,0.2,0.0003,0.0025726070581489086,350,0.0061454163,,,
1818624,4356,417,37,0.8746786713600159,26.81,-0.0010979141807183623,-0.2623301663979267,0.02154541015625,0.5636449456214905,-0.0010729257432709953,0.2,0.0003,0.002693906635977328,360,0.003477564,,,
1867776,4350,429,38,0.9068572521209717,26.08,-0.0028952816501259804,-0.2706302468199283,0.020949300130208334,0.5320562720298767,-0.0011860098212612988,0.2,0.0003,0.0031983302811568136,370,0.006127503,,,
1916928,4345,441,39,0.8918214440345764,27.53,0.0042297448962926865,-0.2694815520429984,0.018595377604166668,0.5897673964500427,-0.0011000309455994283,0.2,0.0003,0.002380469482037976,380,0.002821923,,,
1966080,4340,453,40,0.8925713896751404,27.55,-0.005886297672986984,-0.2681663534526403,0.019158935546875,0.5237007141113281,-0.001177658476869207,0.2,0.0003,0.003212564206720951,390,0.0030674087,,,
2015232,4314,467,41,0.9021071791648865,27.41,0.011704846285283566,-0.2634849647525698,0.021480305989583334,0.561362087726593,-0.0014673431308741176,0.2,0.0003,0.002752295176348222,400,0.0024056088,,,
2064384,4313,478,42,0.8819643259048462,27.56,0.008525874465703964,-0.24966878795530648,0.020355224609375,0.6054900884628296,-0.0014500755910679193,0.2,0.0003,0.002196325414297462,410,0.0031957969,,,
