time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/n_updates
43008,21,485,199.87,0.0,88,0.2,0.10595703125,0.0003,-0.011711067089345306,0.008250986,-1.5686457250267267,-0.04959487542510033,-4.295415878295898,6.772994944412858e-05,200
45056,22,485,199.87,0.0,92,0.2,0.132275390625,0.0003,-0.013543419585039374,0.017138967,-1.5981203205883503,-0.004113468807190657,-2.6969099044799805,5.0054183105885386e-05,210
47104,23,483,199.87,0.0,97,0.2,0.14765625,0.0003,-0.014192990791343618,0.012449309,-1.6066427767276763,-0.014357371255755424,-4.543326377868652,5.795887559543189e-05,220
49152,24,481,199.87,0.0,102,0.2,0.175732421875,0.0003,-0.015574426019884412,0.026668338,-1.6124089490622282,-0.035479966551065445,-3.12290096282959,3.908259340619224e-05,230
51200,25,481,199.87,0.0,106,0.2,0.12744140625,0.0003,-0.016412677928747142,0.014331595,-1.6356438219547271,-0.06301164627075195,-4.787524700164795,5.674766377126161e-05,240
53248,26,480,199.87,0.0,110,0.2,0.201123046875,0.0003,-0.015892415930284187,0.016701868,-1.607330209761858,-0.020010914653539658,-5.4835004806518555,4.694522897921161e-05,250
55296,27,480,199.5,0.0,115,0.2,0.1390625,0.0003,-0.015576769228937337,0.015414894,-1.6287383805960416,0.0010630208998918533,-1.745828628540039,8.841950648275088e-05,260
57344,28,479,199.5,0.0,119,0.2,0.11826171875,0.0003,-0.012297376045899,0.011447041,-1.6229927953332663,-0.03604476898908615,-2.2213356494903564,8.791144180690935e-05,270
59392,29,479,199.15,0.0,123,0.2,0.177880859375,0.0003,-0.018326322063512635,0.015092224,-1.6248851276934146,-0.0434022881090641,-4.2751336097717285,3.911186719847137e-05,280
61440,30,479,199.28,0.0,128,0.2,0.149462890625,0.0003,-0.018487562287191395,0.013928649,-1.612572268024087,-0.03505757078528404,-1.750260591506958,7.28216739958043e-05,290
63488,31,479,199.28,0.0,132,0.2,0.147607421875,0.0003,-0.015764779286109844,0.018595591,-1.587003330141306,-0.04084800183773041,-5.655154228210449,6.492678874110424e-05,300
65536,32,479,199.28,0.0,136,0.2,0.15576171875,0.0003,-0.014417788448918145,0.014039215,-1.5954016741365193,0.0015305536799132824,-3.203225612640381,4.624927450436189e-05,310
67584,33,479,199.28,0.0,141,0.2,0.102978515625,0.0003,-0.008346843688195804,0.008877272,-1.5944829579442739,-0.02777203917503357,-2.281944990158081,6.287636643946826e-05,320
69632,34,478,199.28,0.0,145,0.2,0.17529296875,0.0003,-0.021025877245119774,0.014646947,-1.607946963235736,-0.028595561161637306,-6.079807758331299,6.657363120439186e-05,330
71680,35,478,199.28,0.0,149,0.2,0.15205078125,0.0003,-0.017238763315981488,0.014476815,-1.5841902397572993,-0.022921618074178696,-3.206299304962158,4.434156702473047e-05,340
73728,36,478,199.28,0.0,154,0.2,0.143408203125,0.0003,-0.01629763129167259,0.013934304,-1.6102467067539692,0.004396171309053898,-4.000077724456787,5.3677160440201985e-05,350
75776,37,478,199.65,0.0,158,0.2,0.122607421875,0.0003,-0.01395666154421633,0.014984133,-1.6016549561172724,-0.03869680315256119,-0.622437596321106,6.089840730112428e-05,360
77824,38,478,199.65,0.0,162,0.2,0.1015625,0.0003,-0.012898455683898646,0.012500569,-1.5832800067961217,-0.03152429684996605,-6.908131122589111,5.325917173593098e-05,370
79872,39,478,200.0,0.0,166,0.2,0.10888671875,0.0003,-0.015167985991865862,0.013477666,-1.5505166422575711,0.0008572886581532657,-4.140732765197754,2.956034156511578e-05,380
81920,40,478,200.0,0.0,171,0.2,0.1763671875,0.0003,-0.017429630225524306,0.017052688,-1.4954931892454624,-0.02466111071407795,-2.763582468032837,4.802080471222325e-05,390
83968,41,478,200.0,0.0,175,0.2,0.16171875,0.0003,-0.015408214193303137,0.014386892,-1.5039999712258578,-0.027262842282652855,-3.0533008575439453,0.00011145134681100899,400
86016,42,478,200.0,0.0,179,0.2,0.19052734375,0.0003,-0.018070298893144356,0.01600011,-1.5054385371506214,0.04284030199050903,-6.00824499130249,9.157914184356741e-05,410
88064,43,478,199.36,0.0,184,0.2,0.146142578125,0.0003,-0.017526715392887127,0.013413151,-1.436716141551733,-0.011516962200403214,-2.624607563018799,5.0460938109608835e-05,420
90112,44,477,199.36,0.0,188,0.2,0.1552734375,0.0003,-0.018738889103406108,0.019165609,-1.4089064963161946,-0.04353233426809311,-6.225910186767578,7.076285974108031e-05,430
92160,45,476,199.36,0.0,193,0.2,0.1484375,0.0003,-0.01832022176240571,0.0146823935,-1.417774311080575,-0.003069258527830243,-5.3501482009887695,4.475834999198014e-05,440
94208,46,476,199.36,0.0,197,0.2,0.14873046875,0.0003,-0.02258176551258657,0.015765287,-1.3846258744597435,-0.03365418687462807,-2.702216386795044,6.087961073149017e-05,450
96256,47,475,199.36,0.0,202,0.2,0.162451171875,0.0003,-0.012360359479498585,0.011430943,-1.2847656290978193,-0.01728736236691475,-4.094879150390625,3.5807938665755046e-05,460
98304,48,474,199.36,0.0,207,0.2,0.16826171875,0.0003,-0.0182170421583578,0.013047187,-1.2761944346129894,0.00512389000505209,-6.843212604522705,0.00011432420942014687,470
100352,49,474,199.36,0.0,211,0.2,0.165625,0.0003,-0.020750423693971242,0.016557792,-1.2512173634022474,-0.005804268643260002,-1.4850142002105713,4.804434191783002e-05,480
102400,50,473,199.36,0.0,216,0.2,0.176416015625,0.0003,-0.022948826094216203,0.027915614,-1.2659849785268307,-0.02048107422888279,-3.295767307281494,5.318807636172096e-05,490
104448,51,474,199.36,0.0,220,0.2,0.1359375,0.0003,-0.016781017860921565,0.013851548,-1.2565885171294213,-0.007684514857828617,-1.6036529541015625,4.3360239538969834e-05,500
106496,52,474,199.55,0.0,224,0.2,0.1501953125,0.0003,-0.02315546184836421,0.017647007,-1.3407543536275626,-0.0160104651004076,-3.613564968109131,3.7994499089677446e-05,510
108544,53,474,200.0,0.0,228,0.2,0.131103515625,0.0003,-0.01808652686086134,0.013553175,-1.278433683142066,-0.015605875290930271,-1.8021275997161865,3.876060632705958e-05,520
110592,54,474,200.0,0.0,233,0.2,0.12373046875,0.0003,-0.016570436344773044,0.015071323,-1.240700251609087,-0.03453921899199486,-0.5339981317520142,7.713544450496101e-05,530
112640,55,474,200.0,0.0,237,0.2,0.118212890625,0.0003,-0.01455756988725625,0.012705233,-1.2761669855564832,-0.025765307247638702,-5.320469856262207,3.663895130614492e-05,540
